	ggal_miRb21_bbmap_1	ggal_miRb21_bbmap_10	ggal_miRb21_bbmap_11	ggal_miRb21_bbmap_12	ggal_miRb21_bbmap_2	ggal_miRb21_bbmap_3	ggal_miRb21_bbmap_4	ggal_miRb21_bbmap_5	ggal_miRb21_bbmap_6	ggal_miRb21_bbmap_7	ggal_miRb21_bbmap_8	ggal_miRb21_bbmap_9
gga-miR-1747	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6560	0	0	0	0	0	0	0	0	0	0	2	0
gga-miR-6590	1	0	1	0	1	3	0	1	2	1	0	3
gga-miR-302c	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6571	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6603	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6607	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7479	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-24	28	8	12	25	17	38	9	9	4	10	24	9
gga-miR-1650	0	0	4	0	0	1	0	0	0	0	0	0
gga-miR-1806	0	0	0	1	0	0	0	0	0	0	0	0
gga-miR-3532	13	10	20	64	27	23	27	25	9	3	18	16
gga-miR-200a	22	3	6	2	14	8	9	7	53	3	23	57
gga-miR-1574	0	0	0	0	0	1	0	0	0	0	0	0
gga-miR-1467	38	9	31	7	39	32	23	11	6	20	28	34
gga-miR-449c	4	21	229	16	67	6	1	55	3	24	21	112
gga-miR-6558	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-429	0	0	0	0	0	0	0	1	1	0	0	0
gga-miR-7481	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-30d	27706	11618	41288	23654	31634	21641	35925	44421	24748	10009	35487	23071
gga-miR-1561	1	1	0	0	1	0	1	0	0	0	0	0
gga-miR-1608	0	0	0	0	0	1	0	0	0	0	1	0
gga-miR-1789	1	0	0	2	0	0	1	1	0	0	2	0
gga-miR-1730	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1457	1	0	3	3	1	4	0	0	0	0	1	0
gga-miR-6557	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1644	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1772	6	1	2	21	7	11	10	4	1	2	5	4
gga-miR-18b	5	1	11	15	6	17	19	10	5	3	8	4
gga-miR-1743	1	0	1	2	2	0	1	0	0	0	0	1
gga-miR-7438	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1701	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-199b	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6658	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-99a	44621	14838	44880	125342	69157	55963	35954	57937	27195	9311	43807	55360
gga-miR-6649	4	1	3	2	0	3	0	1	2	1	2	2
gga-miR-137	0	0	3	10	3	3	3	1	2	0	1	2
gga-miR-365-1	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1596	0	0	2	1	4	5	2	3	1	0	6	1
gga-miR-6686	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1776	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1553	0	0	0	1	0	1	0	4	1	0	0	0
gga-miR-6599	0	0	0	1	2	3	2	0	0	0	0	6
gga-miR-7471	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1649	1	0	0	0	0	0	0	0	0	0	0	0
gga-miR-148a	2	2	11	2	2	5	7	11	10	6	7	13
gga-miR-146b	915	1226	2506	9472	1798	2880	6404	2646	1522	1289	996	1521
gga-miR-1691	0	0	0	11	0	0	0	0	0	0	0	0
gga-miR-6542	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6553	3	0	0	0	1	2	1	2	2	0	2	4
gga-miR-6569	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1763	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7464	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6550	0	0	0	0	0	0	0	0	1	0	0	0
gga-miR-6589	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-100	0	0	0	0	0	1	0	0	0	0	1	0
gga-miR-6631	3	1	7	15	6	11	13	5	1	2	5	4
gga-miR-20a	235	88	164	168	308	311	457	176	159	92	183	184
gga-miR-1703	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-130c	0	0	0	0	0	1	0	0	0	0	0	0
gga-miR-1591	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-18a	17246	4384	13591	22430	19554	22783	21983	18265	10579	6043	16514	14134
gga-miR-6698	0	0	1	8	4	4	2	1	3	0	1	1
gga-miR-1727	0	0	0	4	0	1	2	1	2	1	1	2
gga-miR-1567	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1798	0	0	1	0	0	0	1	0	0	0	0	0
gga-miR-7474	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6652	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1668	15	4	3	6	8	9	9	13	2	2	2	1
gga-miR-1612	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7459	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1729	1207	440	689	869	2145	1191	1230	910	718	645	1362	553
gga-miR-6656	0	0	0	1	0	1	0	0	0	0	0	0
gga-miR-6544	0	1	1	1	1	2	1	0	1	0	0	2
gga-miR-199	5338	800	2201	3021	6369	4513	2867	3815	2914	1333	4294	2424
gga-miR-6697	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1619	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6564	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6565	0	0	0	0	0	0	0	0	0	0	0	0
