	ggal_miRb21_bbmap_1	ggal_miRb21_bbmap_10	ggal_miRb21_bbmap_11	ggal_miRb21_bbmap_12	ggal_miRb21_bbmap_2	ggal_miRb21_bbmap_3	ggal_miRb21_bbmap_4	ggal_miRb21_bbmap_5	ggal_miRb21_bbmap_6	ggal_miRb21_bbmap_7	ggal_miRb21_bbmap_8	ggal_miRb21_bbmap_9
gga-miR-3528	0	0	0	6	5	2	1	0	0	1	1	0
gga-miR-6683	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1329	3	3	6	8	9	11	9	11	7	5	9	3
gga-miR-1606	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1794	0	0	0	0	0	2	0	0	0	0	0	0
gga-miR-7458	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-122	1	0	3	1	1	1	0	0	1	0	3	1
gga-miR-1745	0	1	0	0	0	1	0	0	0	0	0	1
gga-miR-6554	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1812	0	0	0	0	0	0	2	0	0	0	1	0
gga-miR-1725	0	0	1	0	0	1	0	1	0	0	1	1
gga-miR-2128	8	2	4	9	8	7	0	5	5	1	2	2
gga-miR-1662	197	76	210	178	339	194	178	123	95	91	107	159
gga-miR-6693	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7449	0	0	0	0	0	1	0	0	0	0	0	0
gga-miR-1732	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6542	0	0	0	1	2	0	0	0	1	0	0	0
gga-miR-6635	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1752	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-135a-3	15	3	5	120	29	61	58	43	34	3	12	21
gga-miR-1645	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6555	0	1	8	4	1	2	3	0	2	0	4	0
gga-miR-1813	0	0	0	0	0	0	0	2	0	1	0	1
gga-miR-29c	1	0	0	0	0	0	0	0	0	1	0	0
gga-miR-1751	0	0	1	1	0	0	0	0	0	0	0	0
gga-miR-6665	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-454	8162	2350	7408	16673	10189	11271	8168	10448	4608	1854	4364	6618
gga-miR-3524a	3	2	2	13	2	6	8	1	0	0	2	1
gga-miR-7442	0	0	1	2	0	0	1	0	0	0	0	0
gga-let-7j	740	284	957	1228	1324	2859	640	704	211	369	1034	886
gga-miR-6634	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7450	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-30c	65356	29812	61429	85179	76009	92843	58156	50844	26347	16281	53833	50909
gga-miR-6666	0	0	0	0	1	0	0	0	0	0	0	0
gga-miR-7469	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1699	0	0	0	0	0	0	1	0	0	0	0	0
gga-miR-124a	69645	24423	105015	137576	67714	140031	66909	67356	37575	21996	105025	97135
gga-miR-128-2	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-3607	2	0	0	1	3	5	8	2	3	1	3	1
gga-miR-6680	0	0	0	0	0	0	0	0	0	1	0	0
gga-miR-1556	0	0	0	0	0	4	0	0	0	0	0	0
gga-miR-6552	0	0	0	9	20	0	0	0	2	0	0	4
gga-miR-19a	22514	9266	26574	21579	23881	28943	27434	21765	12168	2219	4455	26255
gga-miR-1560	9	7	22	43	9	28	21	15	3	5	13	14
gga-miR-1594	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7470	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-181a	422	216	494	812	502	492	414	301	186	64	229	475
gga-miR-6675	11	5	1	18	5	17	13	9	3	0	6	5
gga-miR-3523	40	11	49	92	79	104	25	59	22	6	33	49
gga-miR-6691	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-29b	6528	4112	12918	11385	7790	12081	9842	5873	2227	2741	7963	16734
gga-miR-7477	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-301b	74	23	83	109	135	143	78	62	34	27	94	72
gga-miR-365-2	0	0	0	2	0	0	2	1	0	0	0	3
gga-miR-1669	0	0	0	1	0	0	0	2	0	0	0	0
gga-miR-6548	1	0	0	2	4	4	5	3	1	0	0	0
gga-miR-7477	0	0	0	0	0	0	1	0	0	0	0	0
gga-miR-181b	4070	1368	5595	8128	4662	6350	3228	4723	1647	1042	3688	5244
gga-miR-137	385	144	176	442	542	821	382	386	223	140	505	385
gga-miR-1613	3	2	1	2	8	10	3	2	1	0	9	6
gga-miR-1625	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6567	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6706	0	0	0	0	0	0	0	0	0	0	1	0
gga-miR-1557	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7462	0	0	0	0	1	5	4	2	1	0	0	0
gga-miR-216a	11	1	6	1	5	7	16	8	2	2	8	2
gga-miR-6615	1	0	0	0	1	0	0	1	0	0	1	2
gga-miR-6642	0	0	0	0	0	0	0	0	0	0	0	0
gga-let-7k	16184	3499	15682	16968	19858	24222	10536	12501	4849	4084	8260	13378
gga-miR-1744	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-205a	13	13	45	33	18	127	20	28	27	20	59	98
gga-miR-375	2565	440	1380	964	2520	1163	1320	1539	792	207	1496	3109
gga-miR-184	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-130b	316	98	408	553	394	511	287	264	111	85	207	255
gga-miR-1675	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-218	97210	24853	57584	92645	115871	112478	59975	76112	32215	23445	71642	51306
gga-miR-449b	0	0	0	0	1	0	0	0	0	0	0	1
gga-miR-200a	1	0	0	0	0	0	1	0	3	0	2	0
gga-miR-1555	0	0	1	0	1	0	2	1	0	0	0	1
gga-miR-146c	9260	5676	28991	85717	18450	40643	32054	40812	16912	5461	15922	21039
gga-miR-7482	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1634	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-9	22127	3555	19555	12342	17295	26559	11976	11193	6133	7202	10129	14561
gga-miR-1685	0	0	0	0	2	2	1	1	1	0	0	2
gga-miR-1739	0	0	0	0	0	0	0	0	1	0	0	0
gga-miR-7445	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6574	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6547	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6577	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6552	0	0	0	2	2	0	0	0	1	0	0	1
gga-miR-196	5	3	1	15	2	1	4	7	2	1	1	1
gga-miR-34c	32	1127	1522	610	4618	8	55	3428	41	1320	21	1026
gga-miR-1564	0	0	0	2	0	0	0	0	0	0	0	0
gga-miR-146c	725	183	294	300	715	639	387	230	109	168	364	333
gga-miR-460a	86	52	70	320	57	55	116	204	782	22	179	139
gga-miR-1456	0	0	0	1	2	0	0	0	0	0	0	0
gga-miR-7437	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-130c	3775	4481	10994	12495	4971	5894	7540	7267	4178	1673	4458	9529
gga-miR-1760	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1652	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1778	0	0	0	3	0	0	0	0	0	0	0	0
gga-miR-1592	0	0	0	0	0	3	0	0	2	0	0	1
gga-let-7j	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1807	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1642	0	0	0	1	0	0	0	0	0	0	0	0
gga-miR-7463	0	0	0	1	0	1	0	1	0	0	0	0
gga-miR-7469	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6572	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1713	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6546	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1723	2	0	0	0	0	1	0	3	0	0	0	1
gga-miR-7464	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6696	0	0	1	0	0	0	0	0	0	0	0	0
gga-miR-7480	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-124b	31	9	67	65	34	93	33	38	22	11	59	61
gga-miR-140	2	0	1	3	1	1	3	5	0	0	1	0
gga-miR-200b	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-202	0	0	0	0	0	0	0	0	0	0	0	1
gga-miR-6713	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-15b	9402	2189	5258	3669	11563	8452	8961	4496	2640	3569	7376	4782
gga-miR-489	0	0	0	0	0	0	0	2	0	3	0	0
gga-miR-1628	0	0	0	2	0	0	1	2	0	0	0	0
gga-miR-2129	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1565	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7466	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1648	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6595	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-34b	35	682	536	18	2703	7	25	836	9	567	7	467
gga-miR-1696	0	0	0	0	0	0	0	2	0	0	0	0
gga-miR-1767	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6583	2	2	2	9	0	1	0	0	1	0	2	0
gga-miR-6632	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-126	22111	4630	14793	18098	27365	20995	17052	19601	10439	928	3820	12556
gga-miR-460b	29	12	45	64	70	45	28	51	30	9	31	45
gga-miR-1564	0	0	0	0	0	0	0	3	0	0	0	0
gga-miR-1595	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1712	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-2954	14614	380	2770	8219	26947	23357	4130	9201	27795	6689	30529	3426
gga-miR-1664	2	1	0	5	3	0	1	1	1	0	2	1
gga-miR-1597	0	0	0	1	0	0	1	0	0	0	0	0
gga-miR-1686	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6702	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6568	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1397	254	38	194	298	272	271	155	222	78	57	166	240
gga-miR-1740	3	1	2	3	5	7	4	0	1	1	5	0
gga-miR-458b	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6551	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6570	0	0	0	0	0	0	1	0	0	0	0	0
gga-miR-1630	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1559	7	1	6	34	8	8	12	3	3	1	5	1
gga-miR-1550	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1771	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6596	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1800	0	0	0	0	0	0	1	0	0	0	0	0
gga-miR-138-2	0	0	1	0	0	0	0	0	0	1	0	0
gga-miR-128-1	8	3	10	59	4	7	14	12	4	2	5	19
gga-miR-10a	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1584	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1463	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1569	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6593	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6556	0	0	0	0	0	0	0	3	0	0	0	2
gga-miR-449a	31	79	1141	38	476	19	11	504	10	237	106	477
gga-miR-30b	0	0	0	0	1	0	0	0	0	0	0	0
gga-miR-1a	545	91	333	602	758	665	286	452	1681	93	359	326
gga-miR-1575	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6562	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-193b	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6670	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7482	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6696	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1724	4	1	6	12	0	6	4	2	0	1	4	6
gga-miR-211	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-124c	2	0	1	12	6	15	1	2	1	0	0	1
gga-miR-122	106	20	54	95	177	168	70	74	43	23	57	65
gga-miR-203a	43	19	44	75	40	41	77	83	67	5	26	60
gga-miR-3531	0	1	2	2	1	2	0	2	2	0	2	1
gga-miR-1684a	7	1	0	0	2	9	5	4	2	3	3	0
gga-miR-6559	0	0	0	0	1	0	0	2	0	1	0	0
gga-miR-6570	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-100	40	2	26	31	26	37	25	11	9	13	25	19
gga-miR-7473	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1617	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1845	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7439	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6674	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1b	38	3	23	40	27	50	23	22	42	6	24	18
gga-miR-99a	2614	849	2562	2258	2923	3665	2507	2183	930	563	2165	1696
gga-miR-6561	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1687	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-32	5321	952	2094	3748	3740	3492	4064	2723	2186	950	1887	2233
gga-miR-6681	0	0	0	0	1	0	0	0	0	0	0	1
gga-miR-16c	28788	8527	24260	80502	41057	43776	40427	39901	20589	8193	27104	25556
gga-miR-1706	1	0	0	1	1	1	0	1	0	0	0	1
gga-miR-1781	0	0	0	2	0	0	1	0	0	0	2	0
gga-miR-1677	35	14	44	44	51	47	32	26	19	13	22	28
gga-miR-6654	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7465	30	3	29	16	29	72	21	18	5	14	33	7
gga-miR-1741	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6545	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1632	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1799	0	3	0	3	2	1	1	0	0	0	2	0
gga-miR-762	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1635	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6559	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6664	0	1	0	1	0	0	0	0	0	0	1	0
gga-miR-7449	0	0	0	2	2	0	0	0	0	0	0	0
gga-miR-499	5	0	3	0	2	3	2	0	13	1	2	0
gga-miR-6694	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1680	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1554	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1785	1	2	1	1	1	1	0	1	1	0	0	2
gga-miR-1734	53	8	10	27	46	55	70	19	42	6	7	19
gga-miR-6549	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1749	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6608	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1603	2	0	1	4	1	0	0	0	0	0	0	0
gga-miR-1681	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1643	0	0	0	0	0	0	0	0	1	0	0	0
gga-miR-1694	0	0	0	0	1	1	0	0	0	0	0	0
gga-miR-6580	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-138	1209	501	1417	3744	1609	3124	1513	1730	936	234	1315	1444
gga-miR-7466	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-20b	4262	1906	6715	9570	7202	8155	8514	7353	3446	2408	5009	4686
gga-miR-7440	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1784	41	9	65	12	53	29	29	24	8	4	18	61
gga-miR-7454	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1796	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6618	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1456	21	6	81	234	37	85	25	48	53	29	103	68
gga-miR-21	35	18	47	21	43	40	78	38	11	21	20	52
gga-miR-302a	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-26a	97	25	74	173	73	56	82	36	36	19	63	52
gga-miR-6640	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-181b-1	1	0	1	0	3	1	0	0	0	0	1	0
gga-miR-33	1	0	0	0	1	0	0	0	0	0	0	0
gga-miR-6659	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-30c-2	7	5	9	3	11	3	7	9	4	3	3	14
gga-miR-6579	1	0	0	2	0	2	0	2	2	0	1	0
gga-miR-1759	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-187	234	38	252	1387	286	255	255	499	175	39	142	274
gga-miR-1622	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-222a	789	274	729	1543	870	751	1182	894	526	187	784	498
gga-miR-6572	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6639	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7443	0	0	0	2	0	0	0	0	0	0	0	0
gga-miR-6637	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7448	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1746	0	0	1	5	0	1	0	0	1	0	0	0
gga-miR-1811	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1736	3	0	1	10	1	3	5	2	1	0	0	0
gga-miR-1649	3	0	2	3	7	0	1	1	0	0	1	1
gga-miR-1648	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1766	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1656	4	0	1	3	6	3	1	1	2	0	2	2
gga-miR-6569	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6627	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-130b	4935	1989	6686	33561	5960	7439	7235	10643	4522	975	4049	4366
gga-miR-1736	4	0	2	7	3	9	4	1	1	0	2	4
gga-miR-1758	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6574	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-3530	5	2	6	18	8	25	8	8	1	5	3	3
gga-miR-1600	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-103	19555	6976	21880	55414	19944	29773	17169	21346	9319	4489	19396	22668
gga-miR-6601	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6608	1	0	11	11	3	0	1	6	0	0	0	0
gga-miR-1585	4	11	41	49	27	19	27	21	13	6	5	37
gga-miR-1772	0	0	0	0	1	1	0	0	1	0	0	0
gga-miR-1618	0	0	0	1	0	0	0	0	0	0	0	0
gga-miR-1454	153	40	120	124	212	263	237	108	83	60	69	114
gga-miR-217	27	10	40	63	32	76	63	54	30	5	12	28
gga-miR-1791	31	6	21	43	41	33	23	18	15	2	34	23
gga-miR-1637	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-135b	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-138-1	0	0	0	0	0	0	0	0	0	0	1	0
gga-miR-7453	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1568	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-146a	179	89	331	465	231	421	531	261	113	100	129	123
gga-miR-7441	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1459	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-144	311	132	273	197	641	375	223	374	205	351	1022	311
gga-miR-6604	0	1	0	0	1	2	0	0	0	0	0	0
gga-miR-6606	0	2	22	56	0	0	16	58	0	0	0	8
gga-miR-490	0	0	1	0	0	0	0	1	1	0	0	0
gga-miR-2126	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6699	0	0	0	1	0	0	0	1	0	0	0	0
gga-miR-1781	3	4	8	11	11	11	12	6	4	4	12	6
gga-miR-1775	0	0	0	0	0	0	1	0	1	0	0	0
gga-miR-458a	1	0	3	1	1	1	1	2	0	0	2	2
gga-miR-6668	0	0	0	2	0	0	0	0	0	0	0	0
gga-miR-6593	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1464	1	0	1	2	0	0	0	0	0	0	0	1
gga-miR-1809	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6591	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1560	0	2	4	8	5	3	2	5	1	0	6	2
gga-miR-7468	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1685	11	0	8	17	19	25	8	14	4	4	7	16
gga-miR-135a-2	1212	264	962	2597	979	1626	700	749	401	266	691	764
gga-miR-1697	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1563	16	3	7	33	37	34	28	9	13	3	10	2
gga-miR-1618	1	0	4	0	1	0	0	0	0	0	0	0
gga-miR-202	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6623	53	2	20	30	45	44	22	26	11	6	8	31
gga-miR-6651	0	0	0	1	0	1	1	3	4	1	1	0
gga-miR-6675	0	0	0	0	2	0	0	2	0	0	1	0
gga-miR-1640	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-29a	1	0	1	1	0	1	4	0	0	0	1	0
gga-miR-6628	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1718	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1672	0	1	5	18	1	3	2	6	1	0	5	7
gga-miR-1770	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1562	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-2188	29	3	7	29	17	35	21	7	9	11	25	8
gga-miR-6605	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6644	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1695	2	0	2	4	0	0	2	0	2	0	2	1
gga-miR-1677	403	76	673	820	718	806	326	477	91	79	377	360
gga-miR-6557	0	0	0	0	0	1	0	0	1	0	0	0
gga-miR-6556	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6573	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6609	1	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7439	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6641	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-22	1664	488	1352	1505	2092	2097	1341	1464	845	1055	1692	1631
gga-miR-7463	0	0	0	3	0	0	0	0	0	0	0	0
gga-miR-1614	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-92	25	6	35	97	33	34	31	32	15	9	23	33
gga-miR-193a	115	74	362	958	192	133	169	268	180	31	115	316
gga-miR-223	10940	4180	13476	53642	16830	7600	30461	25810	10223	1783	5069	7841
gga-miR-219a	8	4	5	0	2	3	5	7	2	4	11	1
gga-miR-1711	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1654	0	0	0	0	0	1	0	1	0	0	0	0
gga-miR-1a-2	1	0	0	1	4	1	0	0	7	0	0	0
gga-miR-7454	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7456	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1306	15	7	60	141	41	38	50	76	24	9	23	42
gga-miR-196-2	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-31	11	7	18	25	24	18	41	34	14	0	17	16
gga-miR-301b	4778	1545	2651	6550	6318	5192	4577	5043	2871	1153	3248	2688
gga-miR-7483	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1615	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-217	0	0	0	0	0	2	0	0	1	0	0	0
gga-miR-7457	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1815	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-3525	75	22	95	142	109	204	32	66	35	29	85	69
gga-miR-6676	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1761	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6711	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6594	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6590	0	0	0	0	0	0	0	0	0	0	0	1
gga-miR-6619	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1453	0	0	0	3	1	0	2	1	0	0	0	0
gga-miR-1590	0	0	0	0	0	1	1	0	0	0	0	0
gga-miR-1466	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-302b	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1759	0	0	0	0	0	0	0	0	1	0	0	0
gga-miR-1660	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1791	3	0	5	7	3	1	0	2	2	1	3	2
gga-let-7a	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-3536	3	1	5	8	9	5	11	8	3	3	2	5
gga-miR-301a	6254	1745	4580	6488	7305	8164	5206	7103	3237	1511	4470	4574
gga-miR-6546	0	0	2	0	0	0	0	0	2	0	0	1
gga-miR-6587	1	0	0	1	0	0	0	0	0	0	0	0
gga-miR-133a	6	0	7	8	6	6	9	12	33	1	4	10
gga-miR-7462	8	3	1	9	12	10	6	12	6	0	1	1
gga-miR-757	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-499	0	0	0	0	1	2	1	0	8	0	2	0
gga-miR-1397	14	1	14	22	11	29	11	11	3	5	13	10
gga-miR-1416	4770	1250	3633	10451	4130	8595	3513	4861	2673	552	2568	2409
gga-miR-1797	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-214	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-3594	1	0	0	0	0	0	0	0	0	0	0	0
gga-miR-106	259	61	270	600	324	509	387	318	140	83	309	207
gga-miR-1657	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7472	8	5	10	36	20	23	9	13	5	0	13	6
gga-miR-1754	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1651	1	0	1	2	0	0	0	0	1	0	0	0
gga-miR-1646	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-196-1	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6671	0	0	4	2	1	5	0	2	0	0	2	1
gga-miR-1717	0	0	0	0	0	0	0	0	1	0	0	0
gga-miR-6566	1	1	2	4	2	6	1	0	0	2	0	1
gga-miR-7468	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1726	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7460	0	0	0	1	0	0	0	0	0	0	0	0
gga-miR-1329	517	121	297	548	682	715	252	379	244	223	500	331
gga-miR-1611	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1805	0	0	0	0	0	0	1	0	0	0	0	0
gga-miR-29b-2	118	68	274	384	240	468	145	259	80	39	226	304
gga-miR-1805	24	12	12	8	19	15	5	10	4	9	17	23
gga-miR-1692	1	0	0	2	0	1	0	1	0	0	0	0
gga-miR-1636	1	0	1	0	0	0	0	0	0	0	1	0
gga-miR-7	245094	42195	114888	135669	176021	227960	154573	121907	69303	9641	43976	146144
gga-miR-19b	40018	18196	45386	45170	39193	38411	44042	35913	20952	10773	29574	46928
gga-miR-6672	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7481	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1a-1	3	1	1	1	3	0	1	0	8	0	0	1
gga-miR-1552	247	91	515	1139	436	495	361	550	188	71	247	318
gga-miR-1551	5	2	1	1	5	10	2	2	0	0	1	3
gga-miR-454	0	0	2	6	1	3	1	5	0	0	0	0
gga-miR-103-1	1	2	4	3	2	0	2	7	3	0	5	1
gga-miR-1744	0	2	4	13	20	13	25	7	3	7	8	14
gga-miR-6564	0	0	0	1	0	0	0	0	0	0	0	0
gga-miR-30a	129	73	183	134	139	144	92	91	40	58	74	99
gga-miR-1673	0	0	0	2	0	0	0	0	0	0	0	0
gga-miR-23b	3	0	2	1	1	2	0	0	1	0	1	2
gga-miR-92	2549	509	3053	4374	4757	6458	3628	3785	947	965	2819	2735
