gene_id,UP_90_10_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA.Aligned.sortedByCoord.out
ENSGALG00000041423,1362,2855,1594,2644,1024,6801,1772,1282,3091,1810,1558,1561
ENSGALG00000041420,220,347,233,694,214,901,425,292,537,186,338,253
ENSGALG00000041428,1233,1448,775,1988,909,2203,1198,878,1072,487,1101,895
ENSGALG00000041429,363,729,317,262,167,563,243,169,452,422,334,514
ENSGALG00000025575,1,0,0,1,0,0,1,0,0,1,0,1
ENSGALG00000052745,3,17,0,45,8,7,47,0,0,25,7,22
ENSGALG00000010700,297,465,191,478,264,942,564,371,495,165,380,453
ENSGALG00000010703,338,340,255,480,128,1000,234,419,341,151,310,387
ENSGALG00000010702,681,1008,385,1056,428,2687,857,658,856,583,639,728
ENSGALG00000010705,1380,2289,1075,5252,1556,4235,4293,2053,4180,1377,3176,1787
ENSGALG00000010707,9,23,2,17,14,61,17,1,28,8,11,28
ENSGALG00000010708,289,355,154,395,174,506,410,226,311,102,333,318
ENSGALG00000002175,73,95,55,88,29,310,71,0,42,48,51,47
ENSGALG00000002170,4,7,0,5,1,12,2,0,7,2,3,4
ENSGALG00000002172,2437,3721,1820,4424,1423,6564,3193,2189,3478,1403,2652,3154
ENSGALG00000002179,2954,7389,3366,3062,2232,5598,2917,2698,5515,3856,3312,3469
ENSGALG00000042197,990,1421,896,1384,593,2919,1108,1056,1134,545,910,1356
ENSGALG00000037480,2499,5719,2432,3145,2076,5311,2804,2618,4977,3001,2305,2998
ENSGALG00000037483,1586,2745,1423,2779,1296,7434,2116,1400,2434,1464,1551,1446
ENSGALG00000037485,728,1066,556,1278,468,2157,1020,595,1053,356,735,852
ENSGALG00000042199,59,74,21,43,46,19,17,55,608,38,43,83
ENSGALG00000048083,1,0,0,1,0,1,1,0,1,0,1,0
ENSGALG00000026903,4564,16478,10282,6044,2837,7107,4196,6466,7241,8354,7324,12304
ENSGALG00000030148,781,1290,489,675,469,1491,570,685,1220,700,834,892
ENSGALG00000026901,1,1,1,1,1,1,0,0,1,1,1,1
ENSGALG00000000186,2455,2642,1086,3469,1904,4657,2925,2076,5203,1253,3016,3482
ENSGALG00000035393,0,1,0,0,0,0,1,0,3,0,1,0
ENSGALG00000035392,134,139,72,263,69,312,253,109,140,67,90,90
ENSGALG00000030147,2083,2739,1409,3833,1490,5529,2949,2072,3655,1577,2344,2353
ENSGALG00000048086,13,17,18,11,16,9,30,16,6,11,4,34
ENSGALG00000038372,137,40,69,174,119,281,275,186,542,109,81,127
ENSGALG00000038377,55,81,56,41,31,67,58,19,54,33,34,51
ENSGALG00000038374,142,188,89,91,61,658,101,57,69,63,51,105
ENSGALG00000037739,2512,4303,2056,4417,2129,6488,3385,2879,4466,1633,3014,3298
ENSGALG00000037733,546,850,430,403,418,1017,465,345,1059,1077,346,449
ENSGALG00000037731,2,8,3,2,1,1,0,0,1,1,2,1
ENSGALG00000037737,603,1682,526,293,550,1136,693,643,277,958,168,594
ENSGALG00000037735,9,25,8,1,0,20,0,0,0,0,0,10
ENSGALG00000037734,310,589,259,590,319,810,459,286,436,243,355,570
ENSGALG00000048638,1,1,0,1,1,1,1,0,1,0,1,1
ENSGALG00000048639,66,112,65,138,57,186,58,40,82,27,167,86
ENSGALG00000048630,1,1,1,1,1,1,1,1,1,1,1,1
ENSGALG00000048631,8,35,9,23,14,40,12,0,30,7,10,11
ENSGALG00000048632,12,15,12,37,12,37,21,0,17,3,11,23
ENSGALG00000048633,2,1,0,0,0,0,0,0,1,0,0,0
ENSGALG00000048634,10,24,0,13,10,111,12,30,9,3,4,16
ENSGALG00000048635,0,0,0,0,0,1,0,0,0,13,1,0
ENSGALG00000048636,3,1,0,11,0,12,13,0,0,0,0,0
ENSGALG00000048637,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000035645,3173,5232,2326,2884,2191,10226,2552,2389,6367,3800,2383,2508
ENSGALG00000035641,205,370,183,137,108,222,220,155,345,278,211,270
ENSGALG00000002790,238,309,63,218,174,304,219,185,485,311,139,136
ENSGALG00000002792,2,1,2,0,0,2,1,0,0,1,0,6
ENSGALG00000002797,2888,8687,3313,6668,2681,8107,4663,4068,5328,2126,6114,4699
ENSGALG00000002798,864,1679,515,1193,623,2273,837,553,1645,567,1289,962
ENSGALG00000003228,697,1086,547,1236,461,1835,749,619,929,394,785,834
ENSGALG00000003220,4237,5972,2777,6595,2937,11745,4964,3081,5859,2817,4716,4478
ENSGALG00000003221,338,653,375,635,329,1326,547,548,618,269,461,612
ENSGALG00000003226,642,1185,438,1151,910,2336,363,689,1847,439,1052,832
ENSGALG00000003227,528,865,433,1267,308,1874,701,464,776,389,612,666
ENSGALG00000003224,13,15,16,8,19,32,8,0,9,41,14,41
ENSGALG00000048094,6,26,0,8,0,21,1,1,9,12,4,1
ENSGALG00000048095,1,0,0,1,0,1,4,2,3,1,1,0
ENSGALG00000048096,6,1,0,13,3,29,14,1,1,10,13,1
ENSGALG00000048097,1131,2659,847,1080,599,2307,954,1571,1414,813,842,1387
ENSGALG00000048090,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048091,677,909,401,629,371,2490,577,552,1000,423,413,582
ENSGALG00000048092,6,9,2,4,2,2,4,3,13,4,3,4
ENSGALG00000048093,18,43,26,35,11,55,32,10,73,22,25,54
ENSGALG00000048098,96,136,63,60,41,205,58,39,203,66,53,59
ENSGALG00000048099,1,1,1,1,1,1,0,0,1,1,1,5
ENSGALG00000049949,284,710,216,94,57,260,104,79,228,265,200,273
ENSGALG00000049948,1,1,1,1,1,1,1,0,1,1,1,0
ENSGALG00000049941,5,3,1,3,3,3,2,1,3,3,3,2
ENSGALG00000049940,2,4,0,3,3,3,2,1,1,3,5,5
ENSGALG00000049943,0,1,0,1,1,0,0,0,5,0,3,0
ENSGALG00000049942,0,1,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049945,18,22,25,27,7,122,0,27,20,9,27,8
ENSGALG00000049944,1,0,0,0,0,0,0,1,0,1,0,0
ENSGALG00000049947,6,9,1,3,7,1,2,1,5,8,4,5
ENSGALG00000049946,113,76,7,20,33,27,4,32,34,82,13,27
ENSGALG00000033498,3470,4440,3794,3849,2084,6504,3686,1555,2257,1733,1976,3210
ENSGALG00000033499,0,2,0,1,1,1,0,0,0,1,0,0
ENSGALG00000033497,114,190,94,176,109,318,183,148,590,255,126,153
ENSGALG00000033720,118,111,8,6,33,0,0,9,0,29,7,30
ENSGALG00000034111,28,64,48,55,30,71,18,12,74,47,21,70
ENSGALG00000034116,6,9,4,17,3,1,5,1,34,12,3,5
ENSGALG00000034115,530,979,478,803,339,1787,611,675,979,458,506,597
ENSGALG00000033729,2,1,0,5,0,0,0,0,1,6,1,0
ENSGALG00000034118,152,192,74,181,86,274,171,91,279,191,94,180
ENSGALG00000034119,858,1183,642,603,559,678,1008,447,1240,481,167,372
ENSGALG00000004799,187,466,147,212,129,508,291,231,267,167,136,213
ENSGALG00000004798,4903,6795,3345,5719,4343,8178,7370,4597,12547,6271,6009,6054
ENSGALG00000054960,5,12,17,24,7,51,6,1,11,8,10,13
ENSGALG00000004793,248,343,109,339,73,600,322,290,473,224,250,224
ENSGALG00000004796,6748,1810,997,6881,814,17191,5975,1543,6569,720,4119,6957
ENSGALG00000004794,310,452,324,749,201,829,363,320,416,163,499,352
ENSGALG00000020438,229,324,220,425,173,730,273,290,359,154,338,356
ENSGALG00000054965,1,1,0,1,0,0,0,0,1,0,0,0
ENSGALG00000018257,19,6,3,46,7,5,13,5,11,9,8,5
ENSGALG00000018256,0,0,0,0,0,0,0,0,0,0,1,1
ENSGALG00000018255,2,2,1,3,0,3,4,3,1,2,2,2
ENSGALG00000018254,4,1,1,5,1,1,2,1,3,1,1,1
ENSGALG00000018253,3,2,1,5,1,4,1,1,0,1,1,1
ENSGALG00000018252,5,1,1,7,0,3,1,0,1,1,0,1
ENSGALG00000018251,3,1,0,5,3,3,3,2,3,1,2,2
ENSGALG00000018250,8,0,0,5,0,7,0,0,2,1,0,0
ENSGALG00000054966,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000018259,3,1,2,2,0,2,2,0,8,1,1,1
ENSGALG00000018258,8,3,2,24,2,7,10,2,15,2,4,6
ENSGALG00000004249,136,155,43,199,124,235,131,99,339,35,118,171
ENSGALG00000004248,3,10,0,7,3,12,28,0,9,0,6,0
ENSGALG00000004245,329,813,349,461,257,1025,350,358,637,325,408,459
ENSGALG00000004244,444,632,307,707,287,1205,546,464,681,294,395,561
ENSGALG00000004247,246,387,201,189,95,318,130,112,182,257,137,207
ENSGALG00000004246,683,1546,1492,1136,693,1309,1566,561,827,367,3362,1450
ENSGALG00000004240,235,286,144,890,295,1872,692,344,540,151,473,580
ENSGALG00000004243,0,2,0,1,1,0,0,0,0,0,0,0
ENSGALG00000032453,0,0,13,3,3,0,0,0,16,1,22,0
ENSGALG00000032452,913,1105,480,837,541,2190,680,702,1415,569,788,740
ENSGALG00000032456,5871,3066,1489,10009,2788,13319,6755,1533,11742,3636,2412,2893
ENSGALG00000032458,235,321,200,380,213,393,192,254,393,133,211,247
ENSGALG00000010680,441,462,281,722,290,958,637,338,490,277,524,635
ENSGALG00000001108,764,1514,609,1015,564,1680,657,663,1223,604,769,843
ENSGALG00000030918,8190,11261,7903,16231,5988,21458,10424,9392,15570,6602,9995,11435
ENSGALG00000030917,121,171,41,78,113,90,46,105,143,192,100,88
ENSGALG00000030913,307,524,243,247,149,304,290,182,503,305,392,277
ENSGALG00000053506,1,1,1,1,1,1,1,1,1,1,1,1
ENSGALG00000053507,126,285,169,200,104,194,148,252,250,166,199,175
ENSGALG00000021475,2982,5512,2331,3343,2325,8739,2552,2713,5401,3048,2705,3385
ENSGALG00000053505,12,0,12,0,4,6,9,0,2,4,5,0
ENSGALG00000021473,1893,3267,1844,2598,1056,4883,1995,1672,2854,1627,1865,2208
ENSGALG00000053503,0,2,0,2,1,2,2,0,1,3,2,1
ENSGALG00000021471,0,0,6,0,2,0,0,0,5,0,0,0
ENSGALG00000053501,3,1,0,2,5,11,0,2,1,2,2,1
ENSGALG00000053508,0,1,0,0,0,1,0,1,1,0,0,0
ENSGALG00000053509,372,582,248,450,251,1106,374,390,661,247,305,421
ENSGALG00000028016,31,14,14,78,5,492,17,1,29,8,9,12
ENSGALG00000039764,69,167,45,278,36,81,122,29,147,67,98,158
ENSGALG00000017833,1186,219,189,1628,390,2169,1092,466,1427,158,316,482
ENSGALG00000023189,174,194,112,392,181,697,345,215,290,57,232,158
ENSGALG00000017831,33,22,11,49,13,84,39,1,62,13,27,19
ENSGALG00000006731,1078,2122,873,1815,789,3737,1717,941,1836,1056,1060,1340
ENSGALG00000026293,167,245,134,172,71,365,87,139,240,131,140,230
ENSGALG00000026297,0,0,0,0,0,1,0,0,0,0,0,0
ENSGALG00000026294,84,160,71,112,79,126,60,68,169,67,126,231
ENSGALG00000026295,1566,2746,888,2840,2608,4241,2969,1877,5307,1887,1898,1490
ENSGALG00000026298,449,545,338,717,385,1696,692,347,1158,708,460,442
ENSGALG00000026299,11,22,29,23,12,168,0,1,33,21,15,25
ENSGALG00000019663,650,1434,953,2283,468,2033,986,635,1175,580,1227,1018
ENSGALG00000019662,0,1,1,0,0,0,0,0,1,0,0,1
ENSGALG00000020984,7,7,3,6,4,1,3,6,1,3,1,4
ENSGALG00000020985,15,15,11,10,13,63,39,14,43,25,7,19
ENSGALG00000020986,39,41,14,22,13,172,25,1,25,32,3,9
ENSGALG00000025759,678,745,454,1141,394,2387,818,503,827,423,555,643
ENSGALG00000020982,1228,2307,516,839,772,1532,471,825,3005,996,955,1756
ENSGALG00000025751,362,656,293,291,306,1865,349,453,716,406,329,368
ENSGALG00000020989,0,0,0,2,0,0,0,0,6,2,0,0
ENSGALG00000025755,545,943,329,1398,404,1310,837,593,772,306,753,619
ENSGALG00000014734,431,703,326,1251,480,855,762,377,924,546,889,579
ENSGALG00000026126,0,1,0,1,2,1,0,0,0,2,1,2
ENSGALG00000026121,0,1,0,0,0,0,2,1,3,1,0,0
ENSGALG00000026123,1,1,1,1,0,1,0,1,0,0,0,1
ENSGALG00000050209,0,1,0,1,0,1,0,0,1,1,1,0
ENSGALG00000027453,2,9,5,12,2,27,10,0,15,3,5,33
ENSGALG00000027454,150,116,50,53,158,169,28,149,52,100,26,70
ENSGALG00000039182,1575,2205,1312,3574,1074,6054,3235,1441,2132,1311,2530,1973
ENSGALG00000039186,215,272,149,353,165,552,300,176,213,104,279,263
ENSGALG00000039187,0,0,1,1,0,0,0,0,8,0,1,12
ENSGALG00000016556,275,522,265,484,463,12151,485,147,1079,255,188,693
ENSGALG00000016557,21,24,0,0,21,3,0,0,0,5,0,0
ENSGALG00000016554,26,80,94,21,34,51,18,45,24,49,35,49
ENSGALG00000013703,31,18,0,40,1,67,34,41,10,4,25,33
ENSGALG00000016552,866,1623,833,1288,665,2522,927,805,1630,584,828,1178
ENSGALG00000050848,4,10,13,7,1,12,5,0,18,8,14,15
ENSGALG00000018534,0,3,0,3,0,0,7,0,6,2,0,3
ENSGALG00000016551,1168,1775,617,1519,850,2595,1032,1333,1106,751,1206,690
ENSGALG00000013708,563,652,279,854,243,974,709,330,554,244,581,826
ENSGALG00000013709,251,420,237,268,109,410,127,163,137,202,185,306
ENSGALG00000016558,1066,1166,580,1091,527,1731,556,495,758,410,413,737
ENSGALG00000016559,476,545,235,735,355,1130,569,408,482,317,468,472
ENSGALG00000050846,2,0,2,6,1,3,14,1,2,4,1,2
ENSGALG00000050847,1,1,1,2,0,7,1,1,2,1,1,1
ENSGALG00000027985,1,5,0,1,0,1,0,0,1,1,1,1
ENSGALG00000027986,42,79,23,55,26,91,50,31,35,6,31,59
ENSGALG00000027981,65,115,105,155,38,165,149,110,94,58,78,145
ENSGALG00000027980,251,413,234,204,102,278,146,175,243,239,258,223
ENSGALG00000027983,3012,4528,1895,2520,1849,3118,2026,1865,4693,2688,3163,3410
ENSGALG00000027982,0,3,0,0,0,0,0,0,0,0,0,0
ENSGALG00000027989,1977,3031,1630,2819,1178,4765,2175,1573,2247,1072,2089,2687
ENSGALG00000012072,3257,2671,2015,2746,1221,13155,2350,1297,2010,1283,1384,1654
ENSGALG00000012075,825,1434,817,1123,597,5592,1174,815,1075,476,779,797
ENSGALG00000012074,173,216,124,341,80,381,163,111,216,115,169,179
ENSGALG00000012076,75,135,70,170,27,296,119,98,108,33,73,106
ENSGALG00000014958,0,32,13,30,14,92,41,36,60,22,11,32
ENSGALG00000014950,0,0,0,0,0,0,0,0,0,1,1,0
ENSGALG00000014952,665,1322,629,1926,664,2295,1393,621,1245,576,1111,957
ENSGALG00000014953,270,314,215,623,156,972,470,337,505,131,350,400
ENSGALG00000014954,1177,1680,919,2402,643,2948,1723,1192,1251,483,1358,1654
ENSGALG00000014955,1,1,0,1,1,6,1,1,1,1,1,1
ENSGALG00000014956,203,322,185,573,155,775,499,204,330,140,340,251
ENSGALG00000014957,4048,4545,2458,4625,1990,11013,2957,3049,3970,1641,2571,4076
ENSGALG00000015399,299,363,288,551,303,943,429,305,429,258,361,431
ENSGALG00000015391,355,457,279,1188,568,1036,1179,303,826,376,648,425
ENSGALG00000015390,787,1440,833,2113,559,2603,1260,803,1420,645,1414,1043
ENSGALG00000015395,9,26,22,4,0,48,0,9,9,1,2,1
ENSGALG00000042739,1891,3026,1401,1681,1324,7387,1611,1507,3372,2253,1219,1174
ENSGALG00000015397,662,1341,800,1843,693,2002,1370,716,1541,881,1370,1217
ENSGALG00000015396,918,1120,808,936,404,2513,740,501,802,384,544,748
ENSGALG00000008238,5247,7651,3333,11823,4662,14949,9536,4977,11609,4391,8102,6806
ENSGALG00000008239,1203,2040,784,970,396,1529,540,631,862,525,644,945
ENSGALG00000008230,739,1012,644,953,407,1405,728,645,994,485,708,871
ENSGALG00000008231,587,1018,412,715,281,1450,487,575,1020,371,542,653
ENSGALG00000008233,168,161,55,132,32,956,118,39,112,110,79,91
ENSGALG00000008234,222,264,114,320,126,408,174,171,300,101,234,247
ENSGALG00000008236,3326,5076,2867,3901,1873,7716,2921,3234,4038,1816,2901,3770
ENSGALG00000008237,97,192,73,180,88,301,139,59,234,69,70,110
ENSGALG00000029469,22,40,7,62,50,100,43,1,32,32,26,14
ENSGALG00000029462,106,106,50,183,62,178,135,159,117,57,141,94
ENSGALG00000014042,345,664,224,660,301,674,376,238,725,189,231,465
ENSGALG00000009549,3259,4213,2277,5330,1717,8841,3782,2581,2975,1440,3124,3273
ENSGALG00000009540,566,1235,712,870,318,1272,743,332,643,561,624,812
ENSGALG00000009545,1587,1413,636,1803,879,2905,1872,1569,1601,417,1437,2259
ENSGALG00000009544,705,1038,590,1139,278,1956,812,473,687,380,605,650
ENSGALG00000009547,649,1056,562,1500,484,2352,1025,745,970,370,901,841
ENSGALG00000012206,733,1412,795,1502,557,2165,885,948,1042,387,1131,1184
ENSGALG00000011677,303,447,218,655,271,804,585,382,524,180,475,407
ENSGALG00000011673,24,15,11,16,7,20,17,10,12,6,9,7
ENSGALG00000050079,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000011671,2889,6061,3031,5266,1740,5052,2839,2938,3904,2046,4583,5582
ENSGALG00000050077,5,4,0,7,13,14,18,2,14,3,6,1
ENSGALG00000050076,2,1,0,1,1,1,1,0,4,2,1,1
ENSGALG00000000795,298,443,228,339,191,766,233,171,471,336,236,270
ENSGALG00000050074,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050073,0,2,0,1,0,1,0,1,2,0,1,0
ENSGALG00000050072,123,168,31,2,42,22,0,1,36,84,34,68
ENSGALG00000000791,31,69,18,65,27,450,42,53,91,17,28,53
ENSGALG00000000790,5010,5756,3100,4697,1871,7959,3334,2027,3997,1938,2556,3712
ENSGALG00000001779,237,478,198,282,171,369,238,191,382,223,264,332
ENSGALG00000006080,7175,8290,2513,3935,5612,5951,2774,5438,7131,6151,2690,4043
ENSGALG00000001773,1054,1483,552,1443,1047,1676,917,948,1422,778,929,1110
ENSGALG00000001777,1045,1310,855,1889,757,2637,1166,1046,1239,558,942,1361
ENSGALG00000001774,3605,5726,2628,6057,3064,8385,5322,3904,10398,3535,4330,5229
ENSGALG00000008494,1958,3263,1373,2591,1316,5447,2097,1414,2816,1384,1909,2530
ENSGALG00000008496,1441,2456,1093,2174,994,3791,1532,1230,1909,1022,1575,1723
ENSGALG00000008497,4217,3531,2577,8835,2456,15513,7736,3916,5726,2481,3974,5040
ENSGALG00000008490,29,22,4,21,22,43,13,2,14,44,3,7
ENSGALG00000008491,5179,6375,3089,9970,4111,8908,5289,3540,7708,2677,6541,4515
ENSGALG00000008493,185,518,294,213,78,419,143,183,325,206,213,307
ENSGALG00000008498,8,83,2,55,0,8,12,1,15,5,16,15
ENSGALG00000054318,0,0,0,5,0,1,0,1,0,2,3,1
ENSGALG00000054319,175,233,121,191,118,397,223,138,228,82,216,254
ENSGALG00000054316,2,2,0,1,0,2,0,0,1,2,0,1
ENSGALG00000054317,315,377,284,919,247,945,499,473,375,224,495,437
ENSGALG00000054314,2,2,0,1,0,1,0,0,1,0,1,1
ENSGALG00000054315,0,6,0,2,0,0,0,0,0,0,0,5
ENSGALG00000054312,0,2,0,0,1,3,1,0,2,2,3,6
ENSGALG00000054313,0,2,0,0,1,0,1,0,1,1,1,0
ENSGALG00000054310,21,33,18,25,12,23,5,4,50,43,29,24
ENSGALG00000054311,1,0,0,0,1,0,0,0,0,1,1,1
ENSGALG00000017096,575,1093,472,828,539,1134,794,492,985,422,554,792
ENSGALG00000017097,499,706,313,833,318,972,514,350,534,216,595,694
ENSGALG00000017090,684,877,426,1170,439,2355,1076,610,1004,286,634,545
ENSGALG00000017091,1020,1102,791,979,477,1757,854,726,1053,471,725,1110
ENSGALG00000017092,1002,1134,667,1792,718,3370,1513,1257,1465,420,963,1338
ENSGALG00000017098,368,520,292,574,208,1011,397,237,409,300,408,568
ENSGALG00000017099,97,233,106,73,34,156,75,108,216,93,184,66
ENSGALG00000016949,1385,2108,1115,2500,914,3709,1797,1443,2279,828,1463,1669
ENSGALG00000016941,1917,3554,1946,4230,2082,3337,3091,2462,6613,3216,3678,3119
ENSGALG00000016943,1,2,0,4,1,6,0,0,0,0,3,2
ENSGALG00000016945,22,21,6,30,4,61,20,2,275,13,18,4
ENSGALG00000016947,905,1432,684,949,496,4500,774,468,1113,603,444,736
ENSGALG00000016946,729,912,541,1239,472,2492,943,599,877,427,796,763
ENSGALG00000007320,6,1,9,0,0,0,0,0,0,2,0,0
ENSGALG00000007326,927,1695,864,1602,821,2450,1306,1148,1575,564,1003,1300
ENSGALG00000007324,51,30,45,42,2,163,62,29,60,20,45,34
ENSGALG00000031572,35,50,11,15,8,43,27,31,52,28,28,18
ENSGALG00000031571,1431,3479,1798,1638,1100,8242,1564,1303,2016,1078,919,1270
ENSGALG00000031570,640,1333,494,717,562,824,536,845,1088,546,747,923
ENSGALG00000000803,0,0,0,1,0,0,0,0,15,0,0,0
ENSGALG00000000802,595,1373,664,523,474,2149,440,585,1190,981,382,655
ENSGALG00000031578,199,226,178,262,104,711,276,46,233,70,253,281
ENSGALG00000000808,3208,4383,2293,4237,1660,4508,2952,1962,3498,1339,2911,3509
ENSGALG00000035406,632,934,474,851,436,1747,554,787,1089,381,642,673
ENSGALG00000046388,0,0,0,1,1,0,1,0,1,1,1,1
ENSGALG00000046384,36,58,13,31,49,51,15,95,103,61,37,64
ENSGALG00000047385,11,8,2,22,8,7,11,20,17,11,18,6
ENSGALG00000047384,6,12,0,16,2,56,10,0,9,0,2,5
ENSGALG00000047387,31,14,4,34,33,44,7,0,4,22,21,19
ENSGALG00000047386,5,3,4,5,3,18,1,0,4,1,10,0
ENSGALG00000047381,5,9,6,12,0,18,0,13,19,16,10,9
ENSGALG00000047380,8,198,122,47,20,571,51,145,291,81,45,4
ENSGALG00000047383,85,173,75,15,63,107,39,17,47,248,14,40
ENSGALG00000047382,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047389,12,36,12,12,10,38,12,7,31,19,11,13
ENSGALG00000047388,1,1,0,1,1,0,0,0,1,0,0,0
ENSGALG00000052008,13,13,17,4,16,123,8,1,4,17,10,5
ENSGALG00000052009,72,13,14,12,48,82,42,18,12,43,11,115
ENSGALG00000052004,1,1,0,0,0,1,0,0,0,1,1,0
ENSGALG00000052005,0,1,0,2,0,0,0,1,1,0,1,0
ENSGALG00000052006,10,13,2,3,1,23,4,3,8,7,2,4
ENSGALG00000052007,3,7,0,3,1,19,0,0,6,0,2,0
ENSGALG00000052000,5,4,4,12,3,43,0,0,31,3,14,3
ENSGALG00000052001,8,1,0,5,4,3,16,0,5,5,0,0
ENSGALG00000052002,721,1536,797,557,440,1320,482,915,1336,1112,619,923
ENSGALG00000052003,36,34,17,120,21,75,73,9,46,22,76,45
ENSGALG00000046650,7,8,0,24,18,41,12,0,14,6,24,24
ENSGALG00000046652,468,851,236,961,304,1171,656,492,550,202,555,805
ENSGALG00000046656,212,445,194,85,43,222,117,52,255,200,101,168
ENSGALG00000046657,7,7,0,0,0,0,0,0,5,0,0,0
ENSGALG00000047521,1,1,1,1,1,1,1,1,1,2,1,1
ENSGALG00000047520,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047523,1,1,0,1,1,1,1,0,1,1,1,0
ENSGALG00000047522,1,1,0,1,1,1,1,0,1,1,1,0
ENSGALG00000047525,2,0,0,1,1,1,0,1,5,3,1,0
ENSGALG00000047524,42,52,19,87,20,137,61,68,56,14,61,57
ENSGALG00000047527,3,3,0,3,1,6,2,1,1,2,1,6
ENSGALG00000047526,11,8,5,8,10,18,4,1,15,9,12,4
ENSGALG00000047529,2,1,0,2,1,2,1,2,1,1,2,1
ENSGALG00000047528,1,1,0,1,0,0,0,0,1,1,1,1
ENSGALG00000004003,1743,2949,1698,1964,981,4287,1488,1537,2073,1013,1832,2310
ENSGALG00000004002,682,1167,498,894,682,2178,1023,721,1534,640,771,742
ENSGALG00000028476,0,0,0,1,0,0,0,0,0,0,1,0
ENSGALG00000004004,1256,1808,1017,2589,648,3898,1781,1081,1400,617,1491,1581
ENSGALG00000028478,722,1211,464,910,505,806,659,325,1488,487,756,813
ENSGALG00000004009,60,112,56,43,30,121,46,29,29,52,40,31
ENSGALG00000003805,792,932,576,1907,727,1613,1150,814,1500,494,1146,1110
ENSGALG00000003800,266,370,142,274,197,633,140,163,367,140,239,234
ENSGALG00000032469,3293,5145,2348,1279,1557,13913,1779,1497,3100,3963,774,1526
ENSGALG00000051067,0,11,0,3,2,5,0,0,2,1,3,0
ENSGALG00000051066,2,2,2,2,1,3,3,2,1,1,4,5
ENSGALG00000051065,142,245,52,111,70,296,128,0,316,156,110,95
ENSGALG00000051064,2,4,0,4,1,1,0,1,1,1,1,0
ENSGALG00000049299,68,63,46,196,62,345,177,77,214,40,120,107
ENSGALG00000049298,0,1,0,1,1,9,10,0,1,0,1,0
ENSGALG00000051061,3,2,1,3,2,7,3,5,6,10,6,2
ENSGALG00000051060,25,45,15,66,19,107,48,46,78,8,26,48
ENSGALG00000049295,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049294,1,8,3,1,1,2,1,1,1,1,1,1
ENSGALG00000049297,6,7,0,1,3,31,0,0,0,3,1,0
ENSGALG00000049296,0,5,0,3,0,2,0,0,1,2,0,0
ENSGALG00000049291,1,1,0,1,2,1,1,0,3,1,1,5
ENSGALG00000049290,0,0,0,0,0,0,0,0,1,1,1,0
ENSGALG00000051069,135,195,121,90,85,789,97,38,134,167,47,51
ENSGALG00000049292,11,14,9,14,10,25,5,13,45,28,17,8
ENSGALG00000049747,19,7,4,1,2,87,2,0,4,19,0,2
ENSGALG00000049746,7,20,9,10,1,5,7,7,6,6,2,5
ENSGALG00000049745,0,0,0,1,0,0,0,0,0,0,0,3
ENSGALG00000049744,0,0,0,1,0,1,0,1,1,0,1,0
ENSGALG00000049743,3,2,7,9,0,11,2,1,3,6,9,3
ENSGALG00000049742,0,0,0,0,0,0,0,0,0,0,1,0
ENSGALG00000049741,129,344,166,556,118,676,249,240,262,143,313,254
ENSGALG00000049740,0,0,0,1,0,0,0,0,0,0,0,0
ENSGALG00000049749,1,1,0,1,0,0,0,0,0,1,0,0
ENSGALG00000049748,1,1,1,1,1,1,1,0,1,1,1,1
ENSGALG00000029701,757,1135,517,1519,753,2605,1216,607,1983,803,945,809
ENSGALG00000029702,1710,3409,1700,1752,1459,6262,1305,1385,4518,3094,1329,1588
ENSGALG00000029704,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000029706,1689,2661,1427,2608,1200,4568,2074,1743,2273,1178,1649,2332
ENSGALG00000029709,3011,5109,2369,4897,1744,7838,3157,2965,3350,1886,3923,3951
ENSGALG00000035985,2,4,0,1,1,3,0,0,1,1,1,0
ENSGALG00000035980,852,1329,500,827,519,1549,829,835,1056,567,875,971
ENSGALG00000035981,112,134,186,219,63,271,124,209,102,54,125,211
ENSGALG00000037112,19,3,13,22,28,31,45,0,22,0,5,14
ENSGALG00000045671,316,596,227,173,209,1564,247,354,734,283,128,229
