gene_id,UP_90_10_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA.Aligned.sortedByCoord.out
ENSGALG00000017190,112,73,23,80,77,237,23,40,61,82,48,64
ENSGALG00000017195,45,40,2,35,19,81,5,4,36,14,13,25
ENSGALG00000017197,11,10,7,14,12,4,22,26,49,9,8,11
ENSGALG00000017196,412,481,329,747,265,1193,573,314,517,261,326,481
ENSGALG00000017199,856,1245,663,1631,609,2017,941,630,1696,854,1204,1070
ENSGALG00000016828,71,72,34,183,31,74,46,52,50,36,65,126
ENSGALG00000016822,1,1,0,0,8,1,0,0,6,1,1,0
ENSGALG00000016823,355,390,268,596,241,1014,477,187,388,142,364,427
ENSGALG00000016820,1843,1917,55,170,1464,337,63,879,226,1394,120,1218
ENSGALG00000016826,4,3,0,8,0,1,0,0,75,2,1,2
ENSGALG00000016824,393,545,291,593,171,1136,507,215,395,248,399,478
ENSGALG00000045914,1,1,1,1,1,1,1,0,1,1,1,0
ENSGALG00000000920,299,487,137,133,169,212,141,171,291,445,158,277
ENSGALG00000000927,310,449,260,411,171,866,384,288,644,178,341,293
ENSGALG00000031238,140,370,133,245,93,378,217,289,431,105,222,304
ENSGALG00000046759,1,1,0,2,1,1,4,1,2,1,1,1
ENSGALG00000046758,1,1,0,1,0,1,0,0,0,1,1,1
ENSGALG00000046755,0,8,0,6,0,11,1,0,1,0,2,3
ENSGALG00000046754,84,79,74,100,47,182,64,31,117,17,43,72
ENSGALG00000046757,3,1,1,1,0,4,3,1,5,2,1,3
ENSGALG00000046756,1,0,0,0,0,0,1,0,1,0,0,0
ENSGALG00000046751,0,0,0,0,0,0,0,0,0,0,1,0
ENSGALG00000046750,1,0,1,0,0,0,0,1,1,1,0,0
ENSGALG00000046753,0,0,0,0,0,0,0,0,1,0,0,0
ENSGALG00000046752,1,0,0,1,0,0,0,0,0,1,1,0
ENSGALG00000015849,4650,5197,2925,7350,2565,8121,5841,4617,4821,1837,5168,7133
ENSGALG00000015845,20,38,10,23,11,53,34,0,2,6,23,53
ENSGALG00000015844,3567,7711,2436,5247,2208,9058,4368,3371,5320,2362,3591,4074
ENSGALG00000015846,1723,2586,1347,3789,1490,5133,3416,1915,4164,1276,2313,2677
ENSGALG00000015841,7,5,2,5,13,1,25,5,25,5,18,3
ENSGALG00000015842,2597,3990,1877,2957,1457,7599,2337,2190,3284,1963,1938,2390
ENSGALG00000003478,34,63,15,11,0,23,23,0,11,4,22,4
ENSGALG00000003476,910,1412,713,1648,530,3122,1194,948,1303,571,1027,1145
ENSGALG00000003475,13124,23993,10658,25713,9868,20303,16366,13759,22677,11596,19071,14431
ENSGALG00000003474,541,1206,471,534,192,1308,385,289,646,433,379,667
ENSGALG00000003473,4656,7142,2042,4545,3626,4919,2098,2704,5959,4335,3490,4544
ENSGALG00000003472,98,150,75,141,70,197,188,183,287,72,136,60
ENSGALG00000003470,10,41,14,26,18,28,26,26,21,18,23,41
ENSGALG00000037962,1021,2025,884,1276,450,1656,892,823,1170,745,719,1210
ENSGALG00000043984,0,2,0,0,0,0,0,0,0,1,2,0
ENSGALG00000043988,38,43,38,16,26,16,4,13,55,7,10,12
ENSGALG00000037968,2786,5177,2433,4348,1901,8741,4031,2599,4002,1993,3082,3385
ENSGALG00000044662,0,0,0,0,0,0,1,0,0,1,1,0
ENSGALG00000044661,49,62,11,45,27,108,6,16,35,56,8,12
ENSGALG00000032031,1066,1420,644,1617,658,2852,1596,746,2271,679,867,1276
ENSGALG00000044668,0,16,0,0,0,106,0,0,19,0,0,0
ENSGALG00000047402,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047403,270,333,148,407,201,403,207,299,270,139,202,353
ENSGALG00000047400,1,2,4,8,1,1,6,0,1,1,3,2
ENSGALG00000047401,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047406,1,1,1,3,1,7,14,1,1,1,1,1
ENSGALG00000047407,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047404,0,1,0,0,0,1,0,0,0,3,0,0
ENSGALG00000047405,0,0,0,0,0,0,0,0,0,0,1,0
ENSGALG00000047408,16,7,6,37,13,90,16,24,20,4,8,15
ENSGALG00000047409,9,2,0,6,0,4,0,0,19,1,4,1
ENSGALG00000000106,631,867,413,1129,392,1821,922,501,766,335,722,884
ENSGALG00000004128,95,199,79,91,45,320,39,113,85,78,107,74
ENSGALG00000004129,0,6,0,0,0,0,0,0,6,0,4,0
ENSGALG00000051638,61,194,75,57,21,140,118,118,83,86,93,102
ENSGALG00000051639,14,18,8,23,9,64,21,33,39,4,15,8
ENSGALG00000051636,0,1,0,0,0,0,0,0,1,0,0,0
ENSGALG00000051637,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051634,57,31,0,67,37,157,74,0,185,34,48,36
ENSGALG00000051635,0,6,0,3,8,9,16,0,7,0,0,5
ENSGALG00000004120,8,3,5,5,1,19,3,1,4,4,2,8
ENSGALG00000051633,0,0,0,0,0,0,1,0,1,0,0,0
ENSGALG00000004122,1188,1794,1102,2871,825,5735,2782,915,1826,697,1262,1457
ENSGALG00000004123,93,159,66,78,23,158,54,3,130,76,47,93
ENSGALG00000040756,4124,4718,2472,7277,2669,10986,4833,3410,4867,2109,4550,4792
ENSGALG00000040755,2706,5030,1974,1828,1830,3561,2013,1930,3840,2600,1567,2255
ENSGALG00000040754,319,368,232,81,102,1369,128,254,320,421,122,79
ENSGALG00000050222,0,1,0,0,0,0,0,0,0,0,0,0
ENSGALG00000040759,2088,3158,1418,1044,960,2390,1180,1177,3469,2186,1043,1689
ENSGALG00000040758,4115,5669,2600,5850,3170,6995,4352,3631,7989,3935,5120,4338
ENSGALG00000000109,371,615,301,516,281,1083,495,462,1002,461,345,449
ENSGALG00000049660,2,5,1,13,9,27,0,0,20,3,9,2
ENSGALG00000049661,1,2,0,6,0,0,0,1,2,1,2,0
ENSGALG00000049662,1,1,0,1,1,1,0,0,1,0,1,0
ENSGALG00000049663,2,14,4,2,4,7,6,5,35,5,3,8
ENSGALG00000049664,10,5,2,4,13,16,3,3,13,4,4,3
ENSGALG00000049665,48,28,15,20,2,38,7,10,59,9,42,4
ENSGALG00000049666,1,8,0,2,0,2,7,1,1,3,1,1
ENSGALG00000049667,90,64,33,62,54,316,84,111,193,25,77,135
ENSGALG00000049668,904,1478,744,1179,761,1731,1119,575,1724,1075,901,813
ENSGALG00000049669,19,45,17,9,16,27,11,0,51,13,26,0
ENSGALG00000045136,1631,3208,1529,1473,946,2665,1163,1385,2543,1761,1496,1793
ENSGALG00000045137,68,67,28,58,21,101,34,23,130,30,53,50
ENSGALG00000045131,2,8,1,2,3,26,3,3,2,3,2,5
