gene_id,UP_90_10_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out
ENSGALG00000017190,69,55,12,15,15,99,12,29,26,28,15,37
ENSGALG00000017195,22,19,0,7,7,38,0,0,11,4,4,12
ENSGALG00000017197,3,0,1,1,3,3,7,20,22,0,0,9
ENSGALG00000017196,259,314,244,260,103,643,334,178,314,96,115,279
ENSGALG00000017199,531,754,465,602,207,980,590,370,1077,278,369,642
ENSGALG00000016828,41,40,24,61,3,39,26,13,36,6,29,68
ENSGALG00000016822,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000016823,228,293,201,221,100,572,300,107,264,65,135,276
ENSGALG00000016820,1135,1179,31,62,551,202,22,504,131,553,30,694
ENSGALG00000016826,0,0,0,5,0,0,0,0,42,0,0,0
ENSGALG00000016824,235,325,200,232,62,504,337,133,279,106,132,303
ENSGALG00000045914,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000000920,216,342,91,57,86,133,90,116,206,197,58,187
ENSGALG00000000927,188,293,181,157,59,410,247,167,409,69,117,205
ENSGALG00000031238,108,255,85,164,39,220,138,183,265,43,140,157
ENSGALG00000046759,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046758,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046755,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046754,62,64,53,47,12,93,42,21,84,6,12,27
ENSGALG00000046757,1,1,1,0,0,3,1,0,4,0,1,1
ENSGALG00000046756,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046751,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046750,1,0,1,0,0,0,0,1,0,0,0,0
ENSGALG00000046753,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046752,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000015849,2903,3467,1680,2649,925,3883,3501,2425,2781,684,1762,3961
ENSGALG00000015845,13,26,0,12,0,32,21,0,0,0,8,34
ENSGALG00000015844,2396,5152,1751,1885,823,4643,2642,1919,3449,949,1248,2444
ENSGALG00000015846,1041,1661,896,1321,562,2678,1933,1155,2557,450,870,1649
ENSGALG00000015841,4,2,0,3,8,0,16,2,15,0,6,1
ENSGALG00000015842,1649,2505,1213,1122,486,3867,1388,1174,2016,668,606,1343
ENSGALG00000003478,16,36,7,3,0,0,6,0,0,2,0,4
ENSGALG00000003476,546,908,453,604,212,1572,744,487,790,210,323,629
ENSGALG00000003475,8170,15637,7216,9091,3412,9932,9796,8074,14863,4198,6227,8699
ENSGALG00000003474,325,622,267,204,50,607,232,149,382,124,134,349
ENSGALG00000003473,2775,4121,1200,1664,1264,2298,1183,1441,3472,1436,1171,2500
ENSGALG00000003472,58,76,48,39,30,84,100,99,181,14,44,39
ENSGALG00000003470,6,22,5,14,6,10,17,5,5,6,6,16
ENSGALG00000037962,699,1415,611,480,163,862,604,522,840,325,251,778
ENSGALG00000043984,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000043988,22,32,29,5,9,0,3,7,29,4,1,6
ENSGALG00000037968,1627,3066,1459,1429,544,3890,2348,1443,2501,591,897,1913
ENSGALG00000044662,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000044661,27,34,7,8,7,43,0,7,31,12,0,6
ENSGALG00000032031,703,899,411,577,223,1338,887,400,1338,238,282,725
ENSGALG00000044668,0,11,0,0,0,73,0,0,13,0,0,0
ENSGALG00000047402,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047403,159,214,102,147,50,204,139,181,161,32,50,190
ENSGALG00000047400,0,0,0,4,0,0,0,0,0,0,0,0
ENSGALG00000047401,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047406,0,0,0,2,0,5,0,0,0,0,0,0
ENSGALG00000047407,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047404,0,1,0,0,0,1,0,0,0,1,0,0
ENSGALG00000047405,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047408,9,5,7,12,0,48,5,11,18,2,4,7
ENSGALG00000047409,6,0,0,0,0,3,0,0,10,0,0,0
ENSGALG00000000106,514,499,262,534,158,1122,503,271,476,111,261,510
ENSGALG00000004128,63,109,49,30,18,166,28,45,51,29,31,37
ENSGALG00000004129,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051638,39,116,46,24,4,70,71,65,49,29,23,58
ENSGALG00000051639,8,12,5,10,0,40,14,24,28,0,3,3
ENSGALG00000051636,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051637,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051634,30,3,0,9,13,73,49,0,106,4,1,26
ENSGALG00000051635,3,0,0,0,2,5,0,0,6,0,0,3
ENSGALG00000004120,8,2,5,4,0,6,0,0,3,2,1,3
ENSGALG00000051633,0,0,0,0,0,0,0,0,1,0,0,0
ENSGALG00000004122,705,1074,680,902,265,2639,1567,503,1222,227,387,837
ENSGALG00000004123,59,86,28,16,7,56,43,0,75,31,6,61
ENSGALG00000040756,2560,2978,1645,2650,941,5537,2860,1884,3125,735,1534,2793
ENSGALG00000040755,1834,3392,1393,881,841,1974,1381,1281,2826,1238,656,1467
ENSGALG00000040754,197,220,137,28,39,619,57,132,189,136,45,56
ENSGALG00000050222,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000040759,1227,1964,913,423,360,1275,722,662,2075,794,320,994
ENSGALG00000040758,2607,3657,1814,2399,1185,3508,2692,2155,5059,1602,1785,2732
ENSGALG00000000109,249,432,219,198,80,572,350,315,743,180,118,287
ENSGALG00000049660,0,2,0,4,4,17,0,0,13,2,2,2
ENSGALG00000049661,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049662,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049663,1,6,3,0,1,4,1,3,14,2,1,3
ENSGALG00000049664,14,0,0,11,7,11,9,0,15,0,9,0
ENSGALG00000049665,22,20,11,10,1,11,6,3,35,6,8,1
ENSGALG00000049666,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049667,58,42,29,26,23,185,65,63,112,8,34,104
ENSGALG00000049668,540,860,367,421,223,807,675,333,1092,293,287,469
ENSGALG00000049669,13,36,0,4,5,14,12,10,39,7,8,11
ENSGALG00000045136,1067,2103,1093,599,406,1470,750,881,1820,776,573,1166
ENSGALG00000045137,37,51,23,30,10,57,28,0,94,15,24,36
ENSGALG00000045131,1,2,1,1,1,10,3,1,2,1,1,1
ENSGALG00000045132,394,822,464,338,217,801,590,370,994,238,233,493
ENSGALG00000032250,88,162,87,55,48,135,68,81,243,124,54,86
ENSGALG00000032257,947,1707,848,815,323,1717,1110,630,1996,454,559,1229
ENSGALG00000032259,116,241,69,90,68,89,68,116,181,125,49,104
ENSGALG00000041932,0,0,0,0,0,0,0,0,0,0,4,0
ENSGALG00000041934,1819,3941,2085,1579,939,4076,2156,2010,4056,1109,1342,2452
ENSGALG00000041938,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000041939,133,201,80,69,54,188,103,107,265,87,54,153
ENSGALG00000032922,398,897,207,217,176,650,342,334,594,305,134,470
ENSGALG00000032925,540,1261,582,516,322,1268,640,437,1028,333,357,677
ENSGALG00000019835,20,42,6,2,8,93,0,0,16,10,2,16
ENSGALG00000002467,217,185,90,296,248,416,748,277,1450,252,259,294
ENSGALG00000002466,71,130,58,60,12,155,66,45,109,41,36,44
ENSGALG00000002463,1617,2717,807,744,683,2322,1160,1196,2641,969,577,1373
ENSGALG00000002461,271,492,119,104,77,98,135,159,314,243,127,171
ENSGALG00000002469,661,983,603,796,210,1638,977,609,887,215,404,793
ENSGALG00000038440,32,32,10,34,9,55,26,39,27,7,13,24
ENSGALG00000038448,0,1,0,0,0,2,0,0,0,1,1,1
ENSGALG00000030270,38,95,33,21,18,145,14,7,15,19,3,4
ENSGALG00000030276,198,297,160,133,49,803,164,147,325,115,91,164
ENSGALG00000003734,727,1561,739,608,401,1428,778,776,1300,441,394,815
ENSGALG00000003736,114,182,74,81,60,144,150,74,342,50,44,129
ENSGALG00000003731,127,202,93,83,60,247,165,123,367,145,74,139
ENSGALG00000003732,1059,1946,749,890,486,1572,1009,665,1694,596,579,1083
ENSGALG00000003733,2193,2771,2321,8615,2019,6759,10326,2326,7135,1389,4470,3948
ENSGALG00000003738,691,1316,749,715,162,1571,797,530,918,457,442,965
ENSGALG00000027179,2,3,2,3,1,4,1,0,2,0,0,2
ENSGALG00000027170,150,203,102,0,1,325,0,140,2,0,2,196
ENSGALG00000027173,243,683,376,14,12,550,207,360,302,50,153,396
ENSGALG00000054059,118,128,81,181,52,358,202,155,209,47,83,177
ENSGALG00000054058,0,0,4,0,0,5,0,0,0,0,0,0
ENSGALG00000025998,1,2,1,0,1,1,1,1,0,0,1,1
ENSGALG00000025999,1063,2739,1056,859,308,1610,1101,1220,1309,384,837,1838
ENSGALG00000054051,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000020747,201,384,187,134,81,264,162,139,253,86,91,153
ENSGALG00000054053,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000020745,32,93,21,19,0,46,38,0,60,17,23,60
ENSGALG00000020742,170,245,81,104,124,416,178,109,399,144,67,142
ENSGALG00000025991,0,0,0,0,0,18,0,0,0,0,0,0
ENSGALG00000054057,154,153,83,101,27,180,137,54,112,29,80,171
ENSGALG00000054056,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000027287,160,293,197,52,21,267,111,204,447,92,73,261
ENSGALG00000027285,1,1,1,1,1,1,1,1,1,1,1,2
ENSGALG00000053588,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053589,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053586,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053587,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053584,4,4,5,2,0,10,1,4,3,1,4,9
ENSGALG00000053585,9,5,0,3,5,11,6,0,9,6,5,2
ENSGALG00000053582,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053583,307,786,358,155,98,493,129,242,498,164,92,329
ENSGALG00000053580,0,0,0,4,0,0,0,0,0,0,0,0
ENSGALG00000053581,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054583,14,52,1,3,20,6,1,1,17,57,1,26
ENSGALG00000054582,4,3,1,3,1,2,3,10,2,2,1,2
ENSGALG00000054581,0,0,0,0,0,0,0,0,0,0,0,2
ENSGALG00000054580,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054587,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054586,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054585,4,0,0,2,0,0,3,0,0,0,0,0
ENSGALG00000054584,5,0,0,0,0,9,0,0,0,0,0,0
ENSGALG00000054589,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054588,2,9,0,0,0,1,0,0,0,0,0,0
ENSGALG00000028569,0,0,0,2,0,0,0,5,4,0,0,0
ENSGALG00000008920,556,988,467,433,336,777,583,566,981,304,280,724
ENSGALG00000008925,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000008926,267,346,144,213,120,423,266,225,259,160,95,304
ENSGALG00000051169,219,288,118,44,31,178,88,80,189,78,60,156
ENSGALG00000024488,482,811,184,326,96,1023,493,227,735,158,231,365
ENSGALG00000024485,113,155,69,60,48,213,128,125,120,50,17,135
ENSGALG00000024486,4864,8414,3920,4619,1894,8143,5457,5241,6549,1717,2388,8443
