gene_id,UP_90_10_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out
ENSGALG00000002064,581,881,432,570,325,1285,849,524,1254,302,393,577
ENSGALG00000043641,972,1764,775,398,417,1686,775,595,1654,689,401,764
ENSGALG00000043642,96,114,75,56,0,412,119,12,122,28,22,51
ENSGALG00000007619,334,760,366,320,209,725,369,285,561,262,153,321
ENSGALG00000007618,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000007611,2805,11545,5535,1308,1060,9225,4363,6239,5605,1990,1299,3177
ENSGALG00000007610,194,366,225,294,73,518,335,183,391,97,154,273
ENSGALG00000046689,0,1,0,0,0,0,0,0,0,0,0,3
ENSGALG00000007615,1416,1932,911,1313,516,3311,1660,1006,1611,391,731,1452
ENSGALG00000005519,1669,2818,1059,1363,785,2141,1245,1448,2545,857,735,2049
ENSGALG00000002395,0,26,6,8,4,18,0,27,6,0,4,7
ENSGALG00000002394,489,866,486,734,430,928,776,428,1541,478,480,552
ENSGALG00000002397,198,827,570,319,85,333,175,221,345,150,262,315
ENSGALG00000002390,36,25,36,15,7,61,30,9,31,17,8,30
ENSGALG00000002399,273,370,224,314,100,516,408,199,357,96,182,311
ENSGALG00000037625,2604,2602,1264,1147,1818,3684,1900,2184,3706,2034,1034,1761
ENSGALG00000037626,94,159,184,265,34,129,287,47,171,22,60,117
ENSGALG00000037629,853,1094,760,722,209,2932,904,497,852,294,379,622
ENSGALG00000005516,352,572,238,327,164,900,470,330,784,159,203,356
ENSGALG00000035170,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000038512,377,352,180,324,44,474,349,223,608,70,127,526
ENSGALG00000038513,3,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000038515,742,1404,671,371,305,1701,592,656,1246,380,293,604
ENSGALG00000048498,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048499,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048490,11,16,14,9,6,46,23,0,34,4,7,11
ENSGALG00000048491,3,7,0,1,4,22,0,0,10,3,2,4
ENSGALG00000048492,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048493,10,6,0,9,0,27,0,0,10,0,0,2
ENSGALG00000048494,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048495,0,0,0,1,0,0,0,0,0,0,0,0
ENSGALG00000048496,29,27,18,29,7,33,27,17,43,12,13,28
ENSGALG00000048497,4,2,0,1,0,5,2,0,4,1,0,1
ENSGALG00000002931,4,7,6,0,0,0,0,0,8,0,0,0
ENSGALG00000002932,884,2366,1139,471,325,2397,977,910,1767,706,452,1088
ENSGALG00000002937,1294,1505,739,1367,450,2725,1512,1065,2085,372,580,1298
ENSGALG00000048242,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000026757,64,75,39,119,50,196,181,45,156,34,62,53
ENSGALG00000026754,5,10,0,14,5,27,8,9,23,4,3,5
ENSGALG00000026751,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000026759,2,1,1,1,1,1,1,1,2,1,1,1
ENSGALG00000033638,24,17,19,7,0,10,9,0,16,0,0,37
ENSGALG00000033639,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000020342,126,262,72,153,55,198,178,131,249,80,97,113
ENSGALG00000020340,8,9,0,5,0,10,0,14,9,0,7,8
ENSGALG00000033635,122,207,149,80,32,458,106,58,116,65,52,184
ENSGALG00000033630,1676,2294,1000,1405,660,2667,1798,1238,2051,668,878,1886
ENSGALG00000033631,141,315,141,94,83,467,160,45,321,141,84,130
ENSGALG00000004578,1097,2059,926,956,451,3506,1423,822,1552,470,577,1096
ENSGALG00000004573,904,1657,816,914,452,2791,923,949,1654,311,829,1464
ENSGALG00000004572,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000004571,870,1248,691,1284,354,2701,1690,834,1470,343,698,1115
ENSGALG00000004570,1276,1894,890,1292,544,3575,1651,773,1632,470,600,1258
ENSGALG00000004574,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000018309,1,0,0,0,0,1,1,0,0,1,0,1
ENSGALG00000018308,1,0,1,1,0,1,2,0,1,0,0,1
ENSGALG00000054109,0,0,0,0,0,0,0,0,2,0,0,0
ENSGALG00000054108,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054107,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054106,73,95,45,55,30,156,119,88,265,73,48,67
ENSGALG00000054105,0,0,0,1,0,0,1,0,4,0,0,0
ENSGALG00000054104,1,8,1,1,0,7,12,0,22,8,5,1
ENSGALG00000018301,1,0,0,0,0,2,0,0,0,0,0,1
ENSGALG00000018300,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054101,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000018302,1,1,1,2,2,2,1,1,1,0,0,1
ENSGALG00000023584,116,117,76,159,42,253,148,109,232,27,79,185
ENSGALG00000023581,30,46,11,24,20,38,33,29,66,17,22,28
ENSGALG00000023580,56,111,5,22,41,13,23,0,28,39,7,50
ENSGALG00000053458,0,7,0,7,0,10,0,8,12,0,0,7
ENSGALG00000053459,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053454,2,6,0,0,0,10,10,0,0,0,0,0
ENSGALG00000053455,0,1,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053456,0,0,0,0,0,2,0,0,0,0,0,0
ENSGALG00000053457,330,549,218,447,191,428,482,229,861,263,311,255
ENSGALG00000053450,0,0,0,0,0,0,0,0,0,0,1,0
ENSGALG00000053451,11,8,3,10,0,6,41,17,15,4,2,9
ENSGALG00000053452,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053453,12,25,11,34,8,53,45,26,15,0,9,11
ENSGALG00000023632,363,781,246,278,140,789,413,325,771,279,241,394
ENSGALG00000019553,0,17,0,0,0,11,0,0,0,0,0,0
ENSGALG00000019552,0,0,0,0,0,0,0,0,15,0,0,0
ENSGALG00000019551,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000019555,155,343,315,455,100,781,312,128,259,69,250,300
ENSGALG00000019554,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000039673,554,825,553,412,263,1084,449,487,1168,282,270,620
ENSGALG00000039587,71,64,50,96,34,133,146,27,198,27,54,42
ENSGALG00000039585,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000039582,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000039583,221,400,171,184,65,468,215,110,355,80,116,205
ENSGALG00000039589,71,62,27,69,10,97,52,73,50,0,7,73
ENSGALG00000016268,243,192,87,158,92,404,119,154,184,31,87,211
ENSGALG00000016265,51,72,22,24,11,68,45,19,117,2,37,61
ENSGALG00000016266,163,265,179,228,84,375,349,183,287,70,107,268
ENSGALG00000016267,2464,3863,2407,3111,960,6436,3699,2331,3669,1014,1647,3078
ENSGALG00000016261,269,303,221,95,44,1340,125,127,151,57,47,103
ENSGALG00000016262,9,2,3,3,0,9,0,0,4,0,0,0
ENSGALG00000026033,24,41,27,4,11,170,16,16,56,32,2,18
ENSGALG00000026030,0,1,2,0,0,0,0,0,1,0,0,0
ENSGALG00000026031,324,486,190,297,134,551,370,246,527,131,210,317
ENSGALG00000026037,14,0,0,3,0,0,4,0,0,0,0,0
ENSGALG00000026034,17,11,42,56,16,86,46,0,27,4,14,37
ENSGALG00000026038,18,23,18,16,5,149,12,3,43,4,7,58
ENSGALG00000026039,280,576,227,172,131,463,275,229,401,316,140,264
ENSGALG00000038984,2,6,10,5,0,0,0,0,76,0,0,4
ENSGALG00000038981,67,99,60,106,39,249,109,16,198,54,50,56
ENSGALG00000027633,758,928,485,544,232,1221,633,897,757,190,389,891
ENSGALG00000027632,432,501,464,270,178,886,427,191,447,144,123,317
ENSGALG00000027630,294,579,297,306,234,528,396,299,1087,420,264,358
ENSGALG00000015799,0,0,0,4,0,3,0,0,0,0,0,0
ENSGALG00000027635,401,628,290,383,169,791,426,127,777,185,206,278
ENSGALG00000015795,546,988,153,564,189,1251,818,740,966,270,380,743
ENSGALG00000015791,223,273,110,226,80,577,389,124,321,85,144,291
ENSGALG00000047834,0,0,4,0,0,0,0,0,0,0,0,0
ENSGALG00000013565,2603,3904,2330,3513,1174,6948,4371,2239,5517,1331,2159,2647
ENSGALG00000013568,46,43,0,14,9,138,43,0,55,11,16,15
ENSGALG00000013569,625,1123,460,394,207,999,625,371,682,234,247,780
ENSGALG00000012211,1296,2239,1273,1458,585,3411,1718,1223,2387,751,732,1235
ENSGALG00000015246,312,499,325,336,107,664,378,293,379,104,197,429
ENSGALG00000015244,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000012214,968,1800,1019,956,324,2017,1076,1020,1333,442,610,1204
ENSGALG00000015240,422,795,315,184,112,725,332,188,447,162,220,398
ENSGALG00000012219,887,947,511,643,376,730,613,575,1560,531,481,796
ENSGALG00000012218,534,1368,510,373,245,665,584,510,903,385,297,693
ENSGALG00000031758,55,84,41,35,17,73,74,23,45,31,34,64
ENSGALG00000015249,304,448,272,320,83,768,392,337,535,101,202,364
ENSGALG00000015248,0,36,3,9,0,12,15,23,23,0,0,38
ENSGALG00000033272,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000029576,1427,2661,1428,1229,743,2537,1626,2144,2403,725,938,2118
ENSGALG00000029572,299,426,261,190,92,557,253,278,549,114,139,261
ENSGALG00000029571,289,547,307,658,140,1053,1293,448,630,124,304,475
ENSGALG00000014115,168,171,109,147,50,354,207,116,267,73,93,133
ENSGALG00000014117,31,282,0,0,0,0,0,0,0,100,0,66
ENSGALG00000014118,874,1836,833,745,382,2517,1004,857,2117,502,413,947
ENSGALG00000053915,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053238,0,2,5,9,0,16,12,0,4,2,5,3
ENSGALG00000030801,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000008098,519,961,602,751,181,1554,848,718,665,177,341,819
ENSGALG00000011548,1692,4738,2371,4293,705,4351,2790,1362,2236,874,2182,1992
ENSGALG00000011549,40,76,36,61,16,111,47,63,27,7,24,51
ENSGALG00000011544,3,19,0,0,0,86,0,0,0,0,2,0
ENSGALG00000008091,352,968,453,367,199,478,364,434,698,299,278,613
ENSGALG00000008092,298,397,191,300,162,640,328,319,382,77,206,423
ENSGALG00000008094,1964,3580,1774,1824,598,4457,2498,1555,3080,726,1041,2348
ENSGALG00000011541,720,1161,719,813,270,1720,803,532,1163,286,416,700
ENSGALG00000008096,500,555,247,356,134,650,439,267,615,177,207,359
ENSGALG00000011543,299,431,234,256,110,882,268,261,403,111,170,345
ENSGALG00000050165,2,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050164,0,0,0,5,0,0,0,0,0,0,0,0
ENSGALG00000050167,75,69,39,37,33,129,68,68,84,29,11,27
ENSGALG00000050166,81,70,23,40,22,92,73,79,133,38,51,40
ENSGALG00000050161,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050160,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050163,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050162,151,246,181,172,58,403,261,130,267,72,107,166
ENSGALG00000050169,37,247,57,1,1,11,1,26,18,25,23,25
ENSGALG00000050168,4,0,0,9,0,9,2,0,7,0,3,0
ENSGALG00000030808,169,357,216,211,109,426,424,310,555,89,109,225
ENSGALG00000030809,78,81,46,67,46,108,97,66,217,62,60,72
ENSGALG00000019987,333,560,224,265,163,387,249,268,422,130,206,483
ENSGALG00000025093,8,5,2,9,6,21,6,1,17,4,5,3
ENSGALG00000011897,415,676,289,448,140,868,651,503,519,105,216,464
ENSGALG00000011894,2087,3370,1338,2733,891,3515,2875,2212,3542,844,1416,2348
ENSGALG00000011893,105,126,65,101,17,295,137,83,190,28,49,87
ENSGALG00000011898,405,642,293,110,140,435,171,180,520,214,97,346
ENSGALG00000017493,95,96,59,40,36,87,57,14,151,47,35,68
ENSGALG00000006728,15,4,18,4,7,0,11,0,10,0,0,0
ENSGALG00000001118,1229,2030,1112,1474,524,3323,1770,1302,2599,431,651,1549
ENSGALG00000001110,458,683,303,379,232,1064,488,335,807,251,244,477
ENSGALG00000006723,826,666,170,312,265,1147,861,1010,1224,88,117,1248
ENSGALG00000006724,573,880,385,415,198,890,385,368,1132,260,277,461
ENSGALG00000006725,109,274,112,150,66,93,549,18,6695,78,35,227
ENSGALG00000001115,93,190,117,157,33,289,181,97,127,54,98,102
ENSGALG00000050839,4,13,7,0,0,21,0,0,4,0,0,0
ENSGALG00000050838,25,43,8,16,9,62,22,0,66,8,10,17
ENSGALG00000050833,2,7,3,4,3,11,9,3,14,1,3,4
ENSGALG00000036111,191,227,114,122,92,458,159,183,214,83,93,160
ENSGALG00000050831,582,274,136,213,230,988,621,638,510,85,94,596
ENSGALG00000050830,714,1216,536,910,434,1192,1920,644,2555,631,997,580
ENSGALG00000036114,838,1068,447,635,556,1527,1122,739,2553,957,549,828
ENSGALG00000050836,0,0,0,0,0,1,0,0,0,0,0,0
ENSGALG00000050835,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000036117,479,688,276,355,272,884,584,472,1166,254,269,510
ENSGALG00000007456,426,447,265,344,233,643,364,230,433,189,275,463
ENSGALG00000006356,764,1183,632,681,284,1877,1023,608,1074,268,430,863
ENSGALG00000029779,9,13,6,9,0,11,15,0,13,6,0,20
ENSGALG00000035773,618,900,529,1287,401,1492,1416,517,1292,296,576,682
ENSGALG00000035774,1020,1524,835,1095,419,2362,1119,564,1437,538,622,1127
ENSGALG00000007183,1105,1753,1150,829,269,2072,876,630,1305,449,566,1023
ENSGALG00000007181,368,589,320,253,127,415,245,304,360,114,210,424
ENSGALG00000007186,114,241,166,48,43,503,94,113,129,87,19,86
ENSGALG00000007185,273,454,233,139,85,604,288,226,397,90,151,288
ENSGALG00000007184,9,11,5,0,0,0,0,0,4,8,0,5
ENSGALG00000042863,66,194,52,24,25,107,61,108,121,27,37,109
ENSGALG00000031461,708,1068,695,764,335,2545,888,510,889,218,372,689
ENSGALG00000046523,4,9,4,3,4,15,3,2,12,2,2,3
ENSGALG00000052158,2,1,0,2,0,0,0,0,0,0,0,0
ENSGALG00000052159,2,5,6,4,0,5,0,0,6,2,3,7
ENSGALG00000052152,17,39,25,47,18,0,47,0,150,26,34,37
ENSGALG00000003601,3237,6778,2977,2906,1586,6885,3699,3504,8118,2309,2725,3970
ENSGALG00000052150,0,0,4,0,0,23,0,0,0,0,0,0
ENSGALG00000052151,7,4,4,3,5,0,18,0,10,9,3,0
ENSGALG00000003604,122,217,78,81,65,120,119,73,184,46,54,87
ENSGALG00000003605,1662,2362,1506,3677,1129,4995,4561,1383,3872,1261,2132,1977
ENSGALG00000052154,541,1173,713,444,363,1140,584,527,1066,365,405,762
ENSGALG00000052155,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000044014,950,1520,708,768,311,1406,929,544,1678,424,567,1005
ENSGALG00000044018,22,95,17,39,5,24,17,6,56,21,0,63
ENSGALG00000004379,28,87,39,28,8,26,24,15,36,13,14,42
ENSGALG00000004378,389,1149,438,540,243,1145,319,609,1122,290,337,676
ENSGALG00000028308,82,267,69,70,32,48,80,105,200,34,90,152
ENSGALG00000004370,160,288,131,90,34,348,127,108,242,102,69,223
ENSGALG00000004373,56,228,58,57,32,174,87,111,135,33,67,112
ENSGALG00000004372,390,532,215,223,142,554,280,288,549,183,160,389
ENSGALG00000028302,357,1019,335,207,125,479,302,279,361,184,189,504
ENSGALG00000004376,60,107,53,54,16,124,54,56,169,32,30,57
ENSGALG00000001934,1635,885,448,1050,436,2323,1689,1263,1696,194,550,2324
ENSGALG00000001935,0,0,0,1,0,9,0,0,0,0,0,1
ENSGALG00000001936,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000001932,162,484,210,189,109,404,299,180,647,264,252,213
ENSGALG00000001933,35,60,70,25,11,95,38,62,33,7,7,95
ENSGALG00000001938,450,544,227,235,108,797,240,197,320,151,105,256
ENSGALG00000001939,1592,2352,1029,1367,753,3721,1443,917,2609,826,914,1523
ENSGALG00000051719,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051718,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051715,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051714,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051717,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051716,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051711,1,12,12,0,0,8,0,1,8,0,0,3
ENSGALG00000051710,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051713,1,2,1,1,0,5,0,0,3,1,0,1
ENSGALG00000051712,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000037040,224,361,209,209,78,495,289,136,387,61,179,322
ENSGALG00000037043,647,1190,639,557,363,1363,649,500,1717,558,384,723
ENSGALG00000045762,8,4,0,0,0,0,0,0,11,4,0,5
ENSGALG00000049439,146,593,528,450,184,347,278,248,592,166,180,305
ENSGALG00000049438,8,0,0,19,0,3,12,0,12,9,0,7
ENSGALG00000049435,1,1,1,2,0,1,0,0,3,1,1,1
ENSGALG00000049434,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049437,11,14,3,12,1,35,4,0,16,31,13,1
ENSGALG00000049436,0,0,5,0,2,0,0,0,0,2,0,4
ENSGALG00000049431,420,756,473,779,142,1544,810,341,637,193,351,617
ENSGALG00000049430,4,5,0,16,6,15,0,8,7,0,5,18
ENSGALG00000049433,4,3,0,2,0,30,5,4,10,2,1,2
ENSGALG00000049432,5,8,0,0,0,1,12,0,0,0,0,0
ENSGALG00000023036,46,77,59,63,33,126,125,97,201,43,39,45
ENSGALG00000023032,0,0,0,5,0,0,0,0,0,0,0,0
ENSGALG00000050442,5,0,0,4,0,5,5,0,0,0,0,0
ENSGALG00000050443,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000005132,402,649,370,271,122,691,546,455,712,181,293,665
ENSGALG00000050441,285,351,179,130,50,1546,154,72,196,82,46,128
ENSGALG00000005134,2495,3891,1910,2298,1038,4637,2991,2163,4325,1506,1735,2392
ENSGALG00000050447,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050444,14,3,0,0,12,0,0,10,8,20,0,16
ENSGALG00000050445,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000005138,813,1561,711,788,295,1663,1020,649,1549,445,501,1050
ENSGALG00000005139,6905,8226,4218,7633,2681,14505,9355,5255,9761,2208,4504,7138
ENSGALG00000050448,0,0,0,0,0,0,3,0,0,0,0,0
ENSGALG00000050449,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000052598,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000052599,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000015014,1046,1577,649,1531,590,2965,1613,803,1669,472,809,1309
ENSGALG00000042415,613,673,335,283,250,1047,480,573,1065,218,266,683
ENSGALG00000032172,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000032173,480,1074,468,503,249,845,563,352,866,255,225,609
ENSGALG00000048886,50,27,21,42,10,88,61,13,51,7,21,40
ENSGALG00000042411,137,277,101,73,39,403,66,81,196,28,54,140
ENSGALG00000032178,298,386,178,225,89,443,280,207,386,89,106,329
ENSGALG00000042419,58,192,90,34,14,57,30,69,108,5,32,82
ENSGALG00000006441,250,232,196,251,87,501,256,163,266,75,150,315
ENSGALG00000006440,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000006443,64,140,64,22,27,208,35,37,66,72,8,34
ENSGALG00000006445,1513,2423,1242,1821,939,2532,2292,1374,3259,888,1168,1635
ENSGALG00000006446,900,1466,1037,915,317,2680,1438,809,1156,394,597,1225
ENSGALG00000034399,72,154,54,46,17,75,102,33,339,92,55,58
ENSGALG00000041857,773,1307,611,797,264,1996,907,712,890,269,407,784
ENSGALG00000041854,272,214,134,115,48,336,177,234,256,75,61,144
ENSGALG00000041858,8,21,10,5,8,33,3,3,12,9,0,7
ENSGALG00000032820,9,7,6,3,0,31,2,0,11,2,5,4
ENSGALG00000032828,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000042928,54,36,44,55,28,141,83,109,102,6,24,128
ENSGALG00000019958,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000002210,4429,12815,5555,1292,1412,4581,2424,4044,7948,4096,2044,5464
ENSGALG00000002216,725,809,480,705,205,1186,809,375,771,147,347,660
ENSGALG00000002219,4198,6019,3281,4637,1530,7144,5713,3470,6868,1345,2503,5906
ENSGALG00000007008,192,278,176,215,67,558,278,184,353,68,115,226
ENSGALG00000007009,891,1598,703,724,339,1630,882,722,1942,519,453,1031
ENSGALG00000010535,636,821,458,899,269,1250,1018,504,860,173,515,618
ENSGALG00000030084,171,373,183,119,70,363,142,137,275,71,107,219
ENSGALG00000030086,521,998,347,181,156,547,317,410,714,251,250,590
ENSGALG00000030087,247,461,156,216,167,250,291,255,542,90,158,215
ENSGALG00000030081,208,432,255,192,67,756,254,148,275,84,92,269
ENSGALG00000021304,8,18,0,24,0,18,57,5,27,2,26,26
ENSGALG00000021301,73,114,36,50,11,184,24,8,115,50,20,55
ENSGALG00000021303,6,5,0,0,5,11,0,0,0,0,0,0
ENSGALG00000038708,632,2123,831,606,345,746,566,579,1436,527,699,888
ENSGALG00000038707,0,3,0,1,0,0,1,2,3,0,1,0
ENSGALG00000038704,288,499,386,399,122,1093,565,203,493,166,180,454
ENSGALG00000049884,43,79,47,18,14,93,40,68,57,20,21,36
ENSGALG00000049885,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049886,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049887,0,7,1,2,0,0,0,0,0,0,1,1
ENSGALG00000049880,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049881,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049882,116,105,64,89,27,346,101,105,175,35,74,153
ENSGALG00000049883,26,25,7,0,0,17,6,0,11,0,0,3
ENSGALG00000049888,0,0,0,0,0,7,0,0,0,0,0,0
ENSGALG00000049889,132,144,66,58,30,67,92,74,70,20,44,61
ENSGALG00000048289,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048288,5,5,0,0,0,18,0,0,0,4,0,0
ENSGALG00000003163,2282,3311,1724,2424,1056,2860,2746,1683,5326,1160,1688,2916
ENSGALG00000003162,523,997,492,385,162,1212,545,540,673,196,269,651
ENSGALG00000003165,480,465,262,505,177,1184,637,336,437,218,235,383
ENSGALG00000003164,125,162,95,262,43,321,253,109,283,57,115,157
ENSGALG00000003169,1074,1532,575,527,218,2125,510,663,885,413,365,598
ENSGALG00000048280,31,52,6,33,15,49,41,36,32,38,35,18
ENSGALG00000048283,14,4,6,6,2,58,8,1,3,11,1,4
ENSGALG00000048282,0,0,0,0,0,0,0,0,0,2,0,0
ENSGALG00000048285,226,511,195,76,91,271,93,126,272,158,85,190
ENSGALG00000048284,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048287,2,2,1,9,0,7,7,1,14,2,1,6
ENSGALG00000048286,1295,3479,1740,0,0,1779,0,1039,0,0,0,1834
ENSGALG00000026856,0,1,1,2,0,4,2,0,0,1,0,1
ENSGALG00000024871,17,19,7,43,9,114,77,17,41,3,14,26
ENSGALG00000030554,74,83,65,138,58,122,187,69,387,149,100,141
ENSGALG00000030552,109,133,85,117,43,269,113,72,122,41,75,124
ENSGALG00000030550,1019,1560,673,1294,430,2954,1333,733,1512,298,528,1429
ENSGALG00000035184,683,629,336,600,463,843,1258,582,3299,408,427,673
ENSGALG00000002639,827,1350,892,1160,332,2167,1478,828,1244,261,721,1267
ENSGALG00000035182,80,104,84,76,57,426,81,50,344,89,29,58
ENSGALG00000036568,0,4,0,0,0,3,0,0,7,0,2,0
ENSGALG00000046005,7,8,7,9,0,50,9,0,21,9,2,7
ENSGALG00000026650,0,0,1,0,0,1,1,0,10,1,0,2
ENSGALG00000026655,0,4,0,0,0,6,0,2,3,0,2,2
ENSGALG00000026658,7,23,10,7,0,9,20,0,16,7,14,13
ENSGALG00000036567,293,559,324,475,132,928,584,297,518,115,272,428
ENSGALG00000002631,174,365,135,318,159,356,477,219,800,280,233,211
ENSGALG00000002637,4,3,14,8,0,19,19,0,0,0,5,24
ENSGALG00000002634,799,1410,690,590,309,2024,986,773,1380,316,441,989
ENSGALG00000020557,344,598,361,501,163,925,505,305,464,115,254,417
ENSGALG00000020554,1735,3105,2273,3282,687,1980,3762,1504,3663,981,1799,2197
ENSGALG00000027019,0,3,1,1,0,0,0,0,0,0,0,0
ENSGALG00000027018,4,13,10,3,0,66,9,0,8,3,0,0
ENSGALG00000010925,534,636,452,178,138,881,530,380,608,145,235,775
ENSGALG00000010924,1302,1695,887,1964,924,2516,2416,1082,3652,1222,940,1404
ENSGALG00000010927,0,0,0,0,0,0,0,0,146,0,0,2
ENSGALG00000010926,14,23,250,0,6,22,0,92,17689,0,23,388
ENSGALG00000054738,0,3,0,2,0,7,0,0,0,6,0,0
ENSGALG00000054739,1,1,1,1,0,1,0,0,1,1,0,1
ENSGALG00000054734,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054735,2,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054736,0,6,0,0,6,0,0,0,0,0,3,0
ENSGALG00000054737,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000010929,61,126,71,68,15,156,42,32,154,33,52,76
ENSGALG00000010928,6,6,2,2,0,0,0,0,2413,4,12,16
ENSGALG00000054732,4,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054733,1063,971,368,676,641,1311,1186,977,2055,532,454,899
ENSGALG00000023772,6,23,9,0,0,0,0,0,150,19,0,13
ENSGALG00000023773,47,93,33,74,14,169,34,38,110,31,29,45
ENSGALG00000024094,490,868,351,535,321,1280,728,549,1516,526,393,392
ENSGALG00000053177,0,4,11,0,0,0,0,0,0,0,0,0
ENSGALG00000053176,0,0,0,0,0,0,1,0,0,0,0,0
ENSGALG00000053175,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053174,4,0,0,12,0,12,0,0,0,0,5,0
ENSGALG00000053173,2,1,0,0,0,3,0,0,0,0,0,2
ENSGALG00000053172,0,17,4,5,0,18,14,0,30,0,10,20
ENSGALG00000053171,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053170,5,15,0,15,10,24,17,17,4,6,13,5
ENSGALG00000039424,254,379,210,279,98,570,268,208,441,90,186,267
ENSGALG00000039427,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000039420,791,1297,600,617,522,2132,977,652,1855,565,527,699
ENSGALG00000053179,6,2,0,5,0,16,0,0,33,9,0,9
ENSGALG00000053178,6,3,0,1,4,0,0,3,1,3,0,3
